model,project,criterion,dimension,prompt_profile,runs_observed,gt_positive,metric,metric_values_available,exclusion_or_warning
DeepSeek-V4-Pro,PlanningPoker,Atomic,syntactic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,PlanningPoker,Atomic,syntactic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,PlanningPoker,Atomic,syntactic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,PlanningPoker,Complete,pragmatic,few_shot,5,1.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Complete,pragmatic,one_shot,5,1.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Complete,pragmatic,zero_shot,5,1.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Conceptually sound,semantic,few_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Conceptually sound,semantic,one_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Conceptually sound,semantic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Conflict-free,semantic,few_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Conflict-free,semantic,one_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Conflict-free,semantic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Estimatable,pragmatic,few_shot,5,8.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Estimatable,pragmatic,one_shot,5,8.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Estimatable,pragmatic,zero_shot,5,8.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Full sentence,pragmatic,few_shot,5,0.0,F1,2,no_positive_ground_truth;metric_undefined_some_runs_2_of_5
DeepSeek-V4-Pro,PlanningPoker,Full sentence,pragmatic,one_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
DeepSeek-V4-Pro,PlanningPoker,Full sentence,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Independent,pragmatic,few_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Independent,pragmatic,one_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Independent,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Minimal,syntactic,few_shot,5,14.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Minimal,syntactic,one_shot,5,14.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Minimal,syntactic,zero_shot,5,14.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,semantic,few_shot,5,24.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,semantic,one_shot,5,24.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,semantic,zero_shot,5,24.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Unambiguous,semantic,few_shot,5,9.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Unambiguous,semantic,one_shot,5,9.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Unambiguous,semantic,zero_shot,5,9.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Uniform,pragmatic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,PlanningPoker,Uniform,pragmatic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,PlanningPoker,Uniform,pragmatic,zero_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
DeepSeek-V4-Pro,PlanningPoker,Unique,pragmatic,few_shot,5,2.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Unique,pragmatic,one_shot,5,2.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Unique,pragmatic,zero_shot,5,2.0,F1,5,
DeepSeek-V4-Pro,PlanningPoker,Well-formed,syntactic,few_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Well-formed,syntactic,one_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,PlanningPoker,Well-formed,syntactic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,Zooniverse,Atomic,syntactic,few_shot,5,9.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Atomic,syntactic,one_shot,5,9.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Atomic,syntactic,zero_shot,5,9.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Complete,pragmatic,few_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,Zooniverse,Complete,pragmatic,one_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,Zooniverse,Complete,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,Zooniverse,Conceptually sound,semantic,few_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,Zooniverse,Conceptually sound,semantic,one_shot,5,0.0,F1,4,no_positive_ground_truth;metric_undefined_some_runs_4_of_5
DeepSeek-V4-Pro,Zooniverse,Conceptually sound,semantic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,Zooniverse,Conflict-free,semantic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,Zooniverse,Conflict-free,semantic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,Zooniverse,Conflict-free,semantic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,Zooniverse,Estimatable,pragmatic,few_shot,5,23.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Estimatable,pragmatic,one_shot,5,23.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Estimatable,pragmatic,zero_shot,5,23.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Full sentence,pragmatic,few_shot,5,1.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Full sentence,pragmatic,one_shot,5,1.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Full sentence,pragmatic,zero_shot,5,1.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Independent,pragmatic,few_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,Zooniverse,Independent,pragmatic,one_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,Zooniverse,Independent,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
DeepSeek-V4-Pro,Zooniverse,Minimal,syntactic,few_shot,5,12.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Minimal,syntactic,one_shot,5,12.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Minimal,syntactic,zero_shot,5,12.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Problem-oriented,semantic,few_shot,5,42.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Problem-oriented,semantic,one_shot,5,42.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Problem-oriented,semantic,zero_shot,5,42.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Unambiguous,semantic,few_shot,5,21.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Unambiguous,semantic,one_shot,5,21.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Unambiguous,semantic,zero_shot,5,21.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Uniform,pragmatic,few_shot,5,3.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Uniform,pragmatic,one_shot,5,3.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Uniform,pragmatic,zero_shot,5,3.0,F1,5,
DeepSeek-V4-Pro,Zooniverse,Unique,pragmatic,few_shot,5,0.0,F1,4,no_positive_ground_truth;metric_undefined_some_runs_4_of_5
DeepSeek-V4-Pro,Zooniverse,Unique,pragmatic,one_shot,5,0.0,F1,4,no_positive_ground_truth;metric_undefined_some_runs_4_of_5
DeepSeek-V4-Pro,Zooniverse,Unique,pragmatic,zero_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
DeepSeek-V4-Pro,Zooniverse,Well-formed,syntactic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,Zooniverse,Well-formed,syntactic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
DeepSeek-V4-Pro,Zooniverse,Well-formed,syntactic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,BADCamp,Atomic,syntactic,few_shot,5,5.0,F1,5,
GPT-5-Mini,BADCamp,Atomic,syntactic,one_shot,5,5.0,F1,5,
GPT-5-Mini,BADCamp,Atomic,syntactic,zero_shot,5,5.0,F1,5,
GPT-5-Mini,BADCamp,Complete,pragmatic,few_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,BADCamp,Complete,pragmatic,one_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,BADCamp,Complete,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,BADCamp,Conceptually sound,semantic,few_shot,5,4.0,F1,5,
GPT-5-Mini,BADCamp,Conceptually sound,semantic,one_shot,5,4.0,F1,5,
GPT-5-Mini,BADCamp,Conceptually sound,semantic,zero_shot,5,4.0,F1,5,
GPT-5-Mini,BADCamp,Conflict-free,semantic,few_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
GPT-5-Mini,BADCamp,Conflict-free,semantic,one_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
GPT-5-Mini,BADCamp,Conflict-free,semantic,zero_shot,5,0.0,F1,3,no_positive_ground_truth;metric_undefined_some_runs_3_of_5
GPT-5-Mini,BADCamp,Estimatable,pragmatic,few_shot,5,28.0,F1,5,
GPT-5-Mini,BADCamp,Estimatable,pragmatic,one_shot,5,28.0,F1,5,
GPT-5-Mini,BADCamp,Estimatable,pragmatic,zero_shot,5,28.0,F1,5,
GPT-5-Mini,BADCamp,Full sentence,pragmatic,few_shot,5,8.0,F1,5,
GPT-5-Mini,BADCamp,Full sentence,pragmatic,one_shot,5,8.0,F1,5,
GPT-5-Mini,BADCamp,Full sentence,pragmatic,zero_shot,5,8.0,F1,5,
GPT-5-Mini,BADCamp,Independent,pragmatic,few_shot,5,3.0,F1,5,
GPT-5-Mini,BADCamp,Independent,pragmatic,one_shot,5,3.0,F1,5,
GPT-5-Mini,BADCamp,Independent,pragmatic,zero_shot,5,3.0,F1,5,
GPT-5-Mini,BADCamp,Minimal,syntactic,few_shot,5,18.0,F1,5,
GPT-5-Mini,BADCamp,Minimal,syntactic,one_shot,5,18.0,F1,5,
GPT-5-Mini,BADCamp,Minimal,syntactic,zero_shot,5,18.0,F1,5,
GPT-5-Mini,BADCamp,Problem-oriented,semantic,few_shot,5,26.0,F1,5,
GPT-5-Mini,BADCamp,Problem-oriented,semantic,one_shot,5,26.0,F1,5,
GPT-5-Mini,BADCamp,Problem-oriented,semantic,zero_shot,5,26.0,F1,5,
GPT-5-Mini,BADCamp,Unambiguous,semantic,few_shot,5,40.0,F1,5,
GPT-5-Mini,BADCamp,Unambiguous,semantic,one_shot,5,40.0,F1,5,
GPT-5-Mini,BADCamp,Unambiguous,semantic,zero_shot,5,40.0,F1,5,
GPT-5-Mini,BADCamp,Uniform,pragmatic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,BADCamp,Uniform,pragmatic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,BADCamp,Uniform,pragmatic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,BADCamp,Unique,pragmatic,few_shot,5,2.0,F1,5,
GPT-5-Mini,BADCamp,Unique,pragmatic,one_shot,5,2.0,F1,5,
GPT-5-Mini,BADCamp,Unique,pragmatic,zero_shot,5,2.0,F1,5,
GPT-5-Mini,BADCamp,Well-formed,syntactic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,BADCamp,Well-formed,syntactic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,BADCamp,Well-formed,syntactic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Atomic,syntactic,few_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
GPT-5-Mini,PlanningPoker,Atomic,syntactic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Atomic,syntactic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Complete,pragmatic,few_shot,5,1.0,F1,5,
GPT-5-Mini,PlanningPoker,Complete,pragmatic,one_shot,5,1.0,F1,5,
GPT-5-Mini,PlanningPoker,Complete,pragmatic,zero_shot,5,1.0,F1,5,
GPT-5-Mini,PlanningPoker,Conceptually sound,semantic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Conceptually sound,semantic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Conceptually sound,semantic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Conflict-free,semantic,few_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,PlanningPoker,Conflict-free,semantic,one_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,PlanningPoker,Conflict-free,semantic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,PlanningPoker,Estimatable,pragmatic,few_shot,5,8.0,F1,5,
GPT-5-Mini,PlanningPoker,Estimatable,pragmatic,one_shot,5,8.0,F1,5,
GPT-5-Mini,PlanningPoker,Estimatable,pragmatic,zero_shot,5,8.0,F1,5,
GPT-5-Mini,PlanningPoker,Full sentence,pragmatic,few_shot,5,0.0,F1,4,no_positive_ground_truth;metric_undefined_some_runs_4_of_5
GPT-5-Mini,PlanningPoker,Full sentence,pragmatic,one_shot,5,0.0,F1,3,no_positive_ground_truth;metric_undefined_some_runs_3_of_5
GPT-5-Mini,PlanningPoker,Full sentence,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,PlanningPoker,Independent,pragmatic,few_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,PlanningPoker,Independent,pragmatic,one_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,PlanningPoker,Independent,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,PlanningPoker,Minimal,syntactic,few_shot,5,14.0,F1,5,
GPT-5-Mini,PlanningPoker,Minimal,syntactic,one_shot,5,14.0,F1,5,
GPT-5-Mini,PlanningPoker,Minimal,syntactic,zero_shot,5,14.0,F1,5,
GPT-5-Mini,PlanningPoker,Problem-oriented,semantic,few_shot,5,24.0,F1,5,
GPT-5-Mini,PlanningPoker,Problem-oriented,semantic,one_shot,5,24.0,F1,5,
GPT-5-Mini,PlanningPoker,Problem-oriented,semantic,zero_shot,5,24.0,F1,5,
GPT-5-Mini,PlanningPoker,Unambiguous,semantic,few_shot,5,9.0,F1,5,
GPT-5-Mini,PlanningPoker,Unambiguous,semantic,one_shot,5,9.0,F1,5,
GPT-5-Mini,PlanningPoker,Unambiguous,semantic,zero_shot,5,9.0,F1,5,
GPT-5-Mini,PlanningPoker,Uniform,pragmatic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Uniform,pragmatic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Uniform,pragmatic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Unique,pragmatic,few_shot,5,2.0,F1,5,
GPT-5-Mini,PlanningPoker,Unique,pragmatic,one_shot,5,2.0,F1,5,
GPT-5-Mini,PlanningPoker,Unique,pragmatic,zero_shot,5,2.0,F1,5,
GPT-5-Mini,PlanningPoker,Well-formed,syntactic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Well-formed,syntactic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,PlanningPoker,Well-formed,syntactic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,Zooniverse,Atomic,syntactic,few_shot,5,9.0,F1,5,
GPT-5-Mini,Zooniverse,Atomic,syntactic,one_shot,5,9.0,F1,5,
GPT-5-Mini,Zooniverse,Atomic,syntactic,zero_shot,5,9.0,F1,5,
GPT-5-Mini,Zooniverse,Complete,pragmatic,few_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,Zooniverse,Complete,pragmatic,one_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,Zooniverse,Complete,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,Zooniverse,Conceptually sound,semantic,few_shot,5,0.0,F1,1,no_positive_ground_truth;metric_undefined_some_runs_1_of_5
GPT-5-Mini,Zooniverse,Conceptually sound,semantic,one_shot,5,0.0,F1,4,no_positive_ground_truth;metric_undefined_some_runs_4_of_5
GPT-5-Mini,Zooniverse,Conceptually sound,semantic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,Zooniverse,Conflict-free,semantic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,Zooniverse,Conflict-free,semantic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,Zooniverse,Conflict-free,semantic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,Zooniverse,Estimatable,pragmatic,few_shot,5,23.0,F1,5,
GPT-5-Mini,Zooniverse,Estimatable,pragmatic,one_shot,5,23.0,F1,5,
GPT-5-Mini,Zooniverse,Estimatable,pragmatic,zero_shot,5,23.0,F1,5,
GPT-5-Mini,Zooniverse,Full sentence,pragmatic,few_shot,5,1.0,F1,5,
GPT-5-Mini,Zooniverse,Full sentence,pragmatic,one_shot,5,1.0,F1,5,
GPT-5-Mini,Zooniverse,Full sentence,pragmatic,zero_shot,5,1.0,F1,5,
GPT-5-Mini,Zooniverse,Independent,pragmatic,few_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,Zooniverse,Independent,pragmatic,one_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,Zooniverse,Independent,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
GPT-5-Mini,Zooniverse,Minimal,syntactic,few_shot,5,12.0,F1,5,
GPT-5-Mini,Zooniverse,Minimal,syntactic,one_shot,5,12.0,F1,5,
GPT-5-Mini,Zooniverse,Minimal,syntactic,zero_shot,5,12.0,F1,5,
GPT-5-Mini,Zooniverse,Problem-oriented,semantic,few_shot,5,42.0,F1,5,
GPT-5-Mini,Zooniverse,Problem-oriented,semantic,one_shot,5,42.0,F1,5,
GPT-5-Mini,Zooniverse,Problem-oriented,semantic,zero_shot,5,42.0,F1,5,
GPT-5-Mini,Zooniverse,Unambiguous,semantic,few_shot,5,21.0,F1,5,
GPT-5-Mini,Zooniverse,Unambiguous,semantic,one_shot,5,21.0,F1,5,
GPT-5-Mini,Zooniverse,Unambiguous,semantic,zero_shot,5,21.0,F1,5,
GPT-5-Mini,Zooniverse,Uniform,pragmatic,few_shot,5,3.0,F1,5,
GPT-5-Mini,Zooniverse,Uniform,pragmatic,one_shot,5,3.0,F1,5,
GPT-5-Mini,Zooniverse,Uniform,pragmatic,zero_shot,5,3.0,F1,5,
GPT-5-Mini,Zooniverse,Unique,pragmatic,few_shot,5,0.0,F1,3,no_positive_ground_truth;metric_undefined_some_runs_3_of_5
GPT-5-Mini,Zooniverse,Unique,pragmatic,one_shot,5,0.0,F1,3,no_positive_ground_truth;metric_undefined_some_runs_3_of_5
GPT-5-Mini,Zooniverse,Unique,pragmatic,zero_shot,5,0.0,F1,2,no_positive_ground_truth;metric_undefined_some_runs_2_of_5
GPT-5-Mini,Zooniverse,Well-formed,syntactic,few_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,Zooniverse,Well-formed,syntactic,one_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
GPT-5-Mini,Zooniverse,Well-formed,syntactic,zero_shot,5,0.0,F1,0,no_positive_ground_truth;metric_undefined_all_runs
Gemini-3.1-Pro-Preview,BADCamp,Atomic,syntactic,few_shot,5,5.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Atomic,syntactic,one_shot,5,5.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Atomic,syntactic,zero_shot,5,5.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Complete,pragmatic,few_shot,5,0.0,F1,5,no_positive_ground_truth
Gemini-3.1-Pro-Preview,BADCamp,Complete,pragmatic,one_shot,5,0.0,F1,5,no_positive_ground_truth
Gemini-3.1-Pro-Preview,BADCamp,Complete,pragmatic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,semantic,few_shot,5,4.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,semantic,one_shot,5,4.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,semantic,zero_shot,5,4.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Conflict-free,semantic,few_shot,5,0.0,F1,4,no_positive_ground_truth;metric_undefined_some_runs_4_of_5
Gemini-3.1-Pro-Preview,BADCamp,Conflict-free,semantic,one_shot,5,0.0,F1,5,no_positive_ground_truth
Gemini-3.1-Pro-Preview,BADCamp,Conflict-free,semantic,zero_shot,5,0.0,F1,5,no_positive_ground_truth
Gemini-3.1-Pro-Preview,BADCamp,Estimatable,pragmatic,few_shot,5,28.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Estimatable,pragmatic,one_shot,5,28.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Estimatable,pragmatic,zero_shot,5,28.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Full sentence,pragmatic,few_shot,5,8.0,F1,5,
Gemini-3.1-Pro-Preview,BADCamp,Full sentence,pragmatic,one_shot,5,8.0,F1,5,
