model,project,criterion,dimension,prompt_profile,metric_mean,metric_sd,valid_runs,gt_positive
DeepSeek-V4-Pro,Zooniverse,Minimal,syntactic,one_shot,0.0,0.0,5,12
DeepSeek-V4-Pro,Zooniverse,Minimal,syntactic,zero_shot,0.0,0.0,5,12
DeepSeek-V4-Pro,Zooniverse,Problem-oriented,semantic,few_shot,0.5518266169183496,0.14692336996163402,5,42
DeepSeek-V4-Pro,Zooniverse,Problem-oriented,semantic,one_shot,0.6151270164329865,0.13272257222665565,5,42
DeepSeek-V4-Pro,Zooniverse,Problem-oriented,semantic,zero_shot,0.5857074471190333,0.13009792416093838,5,42
DeepSeek-V4-Pro,Zooniverse,Unambiguous,semantic,few_shot,0.6647055726098269,0.050643775742856036,5,21
DeepSeek-V4-Pro,Zooniverse,Unambiguous,semantic,one_shot,0.6652816888936117,0.024881391385877482,5,21
DeepSeek-V4-Pro,Zooniverse,Unambiguous,semantic,zero_shot,0.6522911728794082,0.021321909966354514,5,21
DeepSeek-V4-Pro,Zooniverse,Uniform,pragmatic,few_shot,0.0,0.0,5,3
DeepSeek-V4-Pro,Zooniverse,Uniform,pragmatic,one_shot,0.0,0.0,5,3
DeepSeek-V4-Pro,Zooniverse,Uniform,pragmatic,zero_shot,0.4,0.5477225575051661,5,3
GPT-5-Mini,BADCamp,Atomic,syntactic,few_shot,0.05714285714285714,0.12777531299998798,5,5
GPT-5-Mini,BADCamp,Atomic,syntactic,one_shot,0.13333333333333333,0.18257418583505536,5,5
GPT-5-Mini,BADCamp,Atomic,syntactic,zero_shot,0.13333333333333333,0.18257418583505536,5,5
GPT-5-Mini,BADCamp,Conceptually sound,semantic,few_shot,0.36,0.036514837167011115,5,4
GPT-5-Mini,BADCamp,Conceptually sound,semantic,one_shot,0.37333333333333335,0.03651483716701108,5,4
GPT-5-Mini,BADCamp,Conceptually sound,semantic,zero_shot,0.43428571428571433,0.07666518779999278,5,4
GPT-5-Mini,BADCamp,Estimatable,pragmatic,few_shot,0.10098762935247918,0.11179694497160131,5,28
GPT-5-Mini,BADCamp,Estimatable,pragmatic,one_shot,0.147156862745098,0.11509390024124325,5,28
GPT-5-Mini,BADCamp,Estimatable,pragmatic,zero_shot,0.11621245828698552,0.05274276712769921,5,28
GPT-5-Mini,BADCamp,Full sentence,pragmatic,few_shot,0.7416849816849818,0.09882998392901662,5,8
GPT-5-Mini,BADCamp,Full sentence,pragmatic,one_shot,0.6564102564102564,0.09703019450474103,5,8
GPT-5-Mini,BADCamp,Full sentence,pragmatic,zero_shot,0.6659340659340659,0.0349812055276581,5,8
GPT-5-Mini,BADCamp,Independent,pragmatic,few_shot,0.124047619047619,0.038689560428722916,5,3
GPT-5-Mini,BADCamp,Independent,pragmatic,one_shot,0.13402685660958297,0.027265032867669924,5,3
GPT-5-Mini,BADCamp,Independent,pragmatic,zero_shot,0.1846749416425891,0.04212453470134979,5,3
GPT-5-Mini,BADCamp,Minimal,syntactic,few_shot,0.5542417582417583,0.0594935758664386,5,18
GPT-5-Mini,BADCamp,Minimal,syntactic,one_shot,0.5,0.10562344264925691,5,18
GPT-5-Mini,BADCamp,Minimal,syntactic,zero_shot,0.5274725274725275,0.06018929203353473,5,18
GPT-5-Mini,BADCamp,Problem-oriented,semantic,few_shot,0.3535621873382784,0.0651080189375421,5,26
GPT-5-Mini,BADCamp,Problem-oriented,semantic,one_shot,0.5153832442067736,0.16208746889053754,5,26
GPT-5-Mini,BADCamp,Problem-oriented,semantic,zero_shot,0.6742901842151117,0.15685777670257786,5,26
GPT-5-Mini,BADCamp,Unambiguous,semantic,few_shot,0.4843203772837512,0.03192843017503014,5,40
GPT-5-Mini,BADCamp,Unambiguous,semantic,one_shot,0.5068724230239684,0.09128598816208475,5,40
GPT-5-Mini,BADCamp,Unambiguous,semantic,zero_shot,0.4788034953582006,0.06763086628441795,5,40
GPT-5-Mini,BADCamp,Unique,pragmatic,few_shot,0.2571428571428571,0.27684651149997397,5,2
GPT-5-Mini,BADCamp,Unique,pragmatic,one_shot,0.4666666666666666,0.273861278752583,5,2
GPT-5-Mini,BADCamp,Unique,pragmatic,zero_shot,0.4022222222222222,0.2465064544768867,5,2
GPT-5-Mini,PlanningPoker,Complete,pragmatic,few_shot,0.0,0.0,5,1
GPT-5-Mini,PlanningPoker,Complete,pragmatic,one_shot,0.0,0.0,5,1
GPT-5-Mini,PlanningPoker,Complete,pragmatic,zero_shot,0.08,0.1788854381999832,5,1
GPT-5-Mini,PlanningPoker,Estimatable,pragmatic,few_shot,0.6025641025641025,0.06148501952965026,5,8
GPT-5-Mini,PlanningPoker,Estimatable,pragmatic,one_shot,0.5692307692307692,0.06319875663521148,5,8
GPT-5-Mini,PlanningPoker,Estimatable,pragmatic,zero_shot,0.6136236312706901,0.1819414870282191,5,8
GPT-5-Mini,PlanningPoker,Minimal,syntactic,few_shot,0.24558823529411766,0.19437371702087736,5,14
GPT-5-Mini,PlanningPoker,Minimal,syntactic,one_shot,0.2833333333333333,0.15975241260567344,5,14
GPT-5-Mini,PlanningPoker,Minimal,syntactic,zero_shot,0.24499999999999997,0.167456462003312,5,14
GPT-5-Mini,PlanningPoker,Problem-oriented,semantic,few_shot,0.7333194733194733,0.05569600804855114,5,24
GPT-5-Mini,PlanningPoker,Problem-oriented,semantic,one_shot,0.7387988037559114,0.09507063287024187,5,24
GPT-5-Mini,PlanningPoker,Problem-oriented,semantic,zero_shot,0.7822437252669812,0.05219059150806542,5,24
GPT-5-Mini,PlanningPoker,Unambiguous,semantic,few_shot,0.6831785345717234,0.033472187286329974,5,9
GPT-5-Mini,PlanningPoker,Unambiguous,semantic,one_shot,0.6721456046533445,0.07507099440463695,5,9
GPT-5-Mini,PlanningPoker,Unambiguous,semantic,zero_shot,0.6608187134502923,0.08926513171037281,5,9
GPT-5-Mini,PlanningPoker,Unique,pragmatic,few_shot,0.6333333333333333,0.2173067468400883,5,2
GPT-5-Mini,PlanningPoker,Unique,pragmatic,one_shot,0.6933333333333334,0.21265517210315443,5,2
GPT-5-Mini,PlanningPoker,Unique,pragmatic,zero_shot,0.6733333333333333,0.23851391759997753,5,2
GPT-5-Mini,Zooniverse,Atomic,syntactic,few_shot,0.6950000000000001,0.1806239186818845,5,9
GPT-5-Mini,Zooniverse,Atomic,syntactic,one_shot,0.7427272727272728,0.21521059261466133,5,9
GPT-5-Mini,Zooniverse,Atomic,syntactic,zero_shot,0.6227272727272727,0.23692568664400984,5,9
GPT-5-Mini,Zooniverse,Estimatable,pragmatic,few_shot,0.37859078590785905,0.2403108031276727,5,23
GPT-5-Mini,Zooniverse,Estimatable,pragmatic,one_shot,0.33786864954347223,0.10338994904141488,5,23
GPT-5-Mini,Zooniverse,Estimatable,pragmatic,zero_shot,0.32402150049208867,0.07291491924918664,5,23
GPT-5-Mini,Zooniverse,Full sentence,pragmatic,few_shot,0.7333333333333333,0.4346134936801766,5,1
GPT-5-Mini,Zooniverse,Full sentence,pragmatic,one_shot,0.8666666666666666,0.18257418583505536,5,1
GPT-5-Mini,Zooniverse,Full sentence,pragmatic,zero_shot,0.8666666666666666,0.18257418583505536,5,1
GPT-5-Mini,Zooniverse,Minimal,syntactic,few_shot,0.07666666666666666,0.11279282877125754,5,12
GPT-5-Mini,Zooniverse,Minimal,syntactic,one_shot,0.04,0.0894427190999916,5,12
GPT-5-Mini,Zooniverse,Minimal,syntactic,zero_shot,0.25326923076923075,0.17363638211868584,5,12
GPT-5-Mini,Zooniverse,Problem-oriented,semantic,few_shot,0.3167311703732229,0.14487100048608778,5,42
GPT-5-Mini,Zooniverse,Problem-oriented,semantic,one_shot,0.6051534701857283,0.16232220031864975,5,42
GPT-5-Mini,Zooniverse,Problem-oriented,semantic,zero_shot,0.7464686967479752,0.06349298597779954,5,42
GPT-5-Mini,Zooniverse,Unambiguous,semantic,few_shot,0.7040534000834378,0.039270364778069514,5,21
GPT-5-Mini,Zooniverse,Unambiguous,semantic,one_shot,0.6861500155617802,0.03723827041468986,5,21
GPT-5-Mini,Zooniverse,Unambiguous,semantic,zero_shot,0.647089947089947,0.04061994035613873,5,21
GPT-5-Mini,Zooniverse,Uniform,pragmatic,few_shot,0.0,0.0,5,3
GPT-5-Mini,Zooniverse,Uniform,pragmatic,one_shot,0.0,0.0,5,3
GPT-5-Mini,Zooniverse,Uniform,pragmatic,zero_shot,0.0,0.0,5,3
Gemini-3.1-Pro-Preview,BADCamp,Atomic,syntactic,few_shot,0.3142857142857143,0.026082026547865043,5,5
Gemini-3.1-Pro-Preview,BADCamp,Atomic,syntactic,one_shot,0.6785714285714286,0.09780759955449397,5,5
Gemini-3.1-Pro-Preview,BADCamp,Atomic,syntactic,zero_shot,0.5714285714285714,0.0,5,5
Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,semantic,few_shot,0.19545454545454544,0.030491836056815328,5,4
Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,semantic,one_shot,0.1802197802197802,0.05897322138460985,5,4
Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,semantic,zero_shot,0.2785714285714286,0.0159719141249985,5,4
Gemini-3.1-Pro-Preview,BADCamp,Estimatable,pragmatic,few_shot,0.07999999999999999,0.07302967433402213,5,28
Gemini-3.1-Pro-Preview,BADCamp,Estimatable,pragmatic,one_shot,0.11655913978494618,0.027890740364513524,5,28
Gemini-3.1-Pro-Preview,BADCamp,Estimatable,pragmatic,zero_shot,0.027586206896551717,0.03777396948311489,5,28
Gemini-3.1-Pro-Preview,BADCamp,Full sentence,pragmatic,few_shot,0.6153846153846154,0.34401045807689073,5,8
Gemini-3.1-Pro-Preview,BADCamp,Full sentence,pragmatic,one_shot,0.0,0.0,5,8
Gemini-3.1-Pro-Preview,BADCamp,Full sentence,pragmatic,zero_shot,0.8723981900452488,0.09417853929953073,5,8
Gemini-3.1-Pro-Preview,BADCamp,Independent,pragmatic,few_shot,0.09809523809523808,0.0026082026547865267,5,3
Gemini-3.1-Pro-Preview,BADCamp,Independent,pragmatic,one_shot,0.09902750764101138,0.0014911261867184059,5,3
Gemini-3.1-Pro-Preview,BADCamp,Independent,pragmatic,zero_shot,0.10169491525423728,0.0,5,3
Gemini-3.1-Pro-Preview,BADCamp,Minimal,syntactic,few_shot,0.717741935483871,0.01803280627015959,5,18
Gemini-3.1-Pro-Preview,BADCamp,Minimal,syntactic,one_shot,0.6009852216748769,0.026981406773653547,5,18
Gemini-3.1-Pro-Preview,BADCamp,Minimal,syntactic,zero_shot,0.5549071618037135,0.03677353172546076,5,18
Gemini-3.1-Pro-Preview,BADCamp,Problem-oriented,semantic,few_shot,0.5324324324324324,0.018130280898646937,5,26
Gemini-3.1-Pro-Preview,BADCamp,Problem-oriented,semantic,one_shot,0.6092927770976552,0.10505045108311226,5,26
Gemini-3.1-Pro-Preview,BADCamp,Problem-oriented,semantic,zero_shot,0.4738223938223937,0.037296577848645186,5,26
Gemini-3.1-Pro-Preview,BADCamp,Unambiguous,semantic,few_shot,0.5025221417974194,0.05678631910951595,5,40
Gemini-3.1-Pro-Preview,BADCamp,Unambiguous,semantic,one_shot,0.4945220193340494,0.07109303129322637,5,40
Gemini-3.1-Pro-Preview,BADCamp,Unambiguous,semantic,zero_shot,0.5336870026525199,0.04033226060211824,5,40
Gemini-3.1-Pro-Preview,BADCamp,Unique,pragmatic,few_shot,1.0,0.0,5,2
Gemini-3.1-Pro-Preview,BADCamp,Unique,pragmatic,one_shot,1.0,0.0,5,2
Gemini-3.1-Pro-Preview,BADCamp,Unique,pragmatic,zero_shot,1.0,0.0,5,2
Gemini-3.1-Pro-Preview,PlanningPoker,Complete,pragmatic,few_shot,0.0,0.0,5,1
Gemini-3.1-Pro-Preview,PlanningPoker,Complete,pragmatic,one_shot,0.0,0.0,5,1
Gemini-3.1-Pro-Preview,PlanningPoker,Complete,pragmatic,zero_shot,0.0,0.0,5,1
Gemini-3.1-Pro-Preview,PlanningPoker,Estimatable,pragmatic,few_shot,0.6968325791855203,0.09913530452582196,5,8
Gemini-3.1-Pro-Preview,PlanningPoker,Estimatable,pragmatic,one_shot,0.6196078431372549,0.04295863196118945,5,8
Gemini-3.1-Pro-Preview,PlanningPoker,Estimatable,pragmatic,zero_shot,0.5882352941176471,0.0,5,8
Gemini-3.1-Pro-Preview,PlanningPoker,Minimal,syntactic,few_shot,0.3529411764705882,0.0,5,14
Gemini-3.1-Pro-Preview,PlanningPoker,Minimal,syntactic,one_shot,0.4,0.3651483716701107,5,14
Gemini-3.1-Pro-Preview,PlanningPoker,Minimal,syntactic,zero_shot,0.26666666666666666,0.3651483716701107,5,14
Gemini-3.1-Pro-Preview,PlanningPoker,Problem-oriented,semantic,few_shot,0.8164502164502165,0.0038719791818178206,5,24
Gemini-3.1-Pro-Preview,PlanningPoker,Problem-oriented,semantic,one_shot,0.875,0.0,5,24
Gemini-3.1-Pro-Preview,PlanningPoker,Problem-oriented,semantic,zero_shot,0.8863221884498479,0.016311742085104854,5,24
Gemini-3.1-Pro-Preview,PlanningPoker,Unambiguous,semantic,few_shot,0.6460084033613446,0.06411006100700474,5,9
Gemini-3.1-Pro-Preview,PlanningPoker,Unambiguous,semantic,one_shot,0.5510835913312693,0.03391470944304437,5,9
Gemini-3.1-Pro-Preview,PlanningPoker,Unambiguous,semantic,zero_shot,0.5619047619047619,0.00869400884928832,5,9
Gemini-3.1-Pro-Preview,PlanningPoker,Unique,pragmatic,few_shot,1.0,0.0,5,2
Gemini-3.1-Pro-Preview,PlanningPoker,Unique,pragmatic,one_shot,1.0,0.0,5,2
Gemini-3.1-Pro-Preview,PlanningPoker,Unique,pragmatic,zero_shot,1.0,0.0,5,2
Gemini-3.1-Pro-Preview,Zooniverse,Atomic,syntactic,few_shot,0.870175438596491,0.02562444713474461,5,9
Gemini-3.1-Pro-Preview,Zooniverse,Atomic,syntactic,one_shot,0.8768421052631579,0.031710253329246506,5,9
Gemini-3.1-Pro-Preview,Zooniverse,Atomic,syntactic,zero_shot,0.7019762845849803,0.014141141359682495,5,9
Gemini-3.1-Pro-Preview,Zooniverse,Estimatable,pragmatic,few_shot,0.5519392243102759,0.15461500423776384,5,23
Gemini-3.1-Pro-Preview,Zooniverse,Estimatable,pragmatic,one_shot,0.2941176470588235,0.0,5,23
Gemini-3.1-Pro-Preview,Zooniverse,Estimatable,pragmatic,zero_shot,0.3428571428571428,0.0,5,23
Gemini-3.1-Pro-Preview,Zooniverse,Full sentence,pragmatic,few_shot,0.0,0.0,5,1
Gemini-3.1-Pro-Preview,Zooniverse,Full sentence,pragmatic,one_shot,0.0,0.0,5,1
Gemini-3.1-Pro-Preview,Zooniverse,Full sentence,pragmatic,zero_shot,0.0,0.0,5,1
Gemini-3.1-Pro-Preview,Zooniverse,Minimal,syntactic,few_shot,0.0,0.0,5,12
Gemini-3.1-Pro-Preview,Zooniverse,Minimal,syntactic,one_shot,0.0,0.0,5,12
Gemini-3.1-Pro-Preview,Zooniverse,Minimal,syntactic,zero_shot,0.0,0.0,5,12
Gemini-3.1-Pro-Preview,Zooniverse,Problem-oriented,semantic,few_shot,0.42096436058700204,0.013125765905659148,5,42
Gemini-3.1-Pro-Preview,Zooniverse,Problem-oriented,semantic,one_shot,0.5466424682395644,0.01136295886932741,5,42
Gemini-3.1-Pro-Preview,Zooniverse,Problem-oriented,semantic,zero_shot,0.5517241379310345,0.0,5,42
Gemini-3.1-Pro-Preview,Zooniverse,Unambiguous,semantic,few_shot,0.6601092896174863,0.005986038879837898,5,21
Gemini-3.1-Pro-Preview,Zooniverse,Unambiguous,semantic,one_shot,0.6231182795698924,0.07435480955379271,5,21
Gemini-3.1-Pro-Preview,Zooniverse,Unambiguous,semantic,zero_shot,0.5965156794425087,0.03435193740450519,5,21
Gemini-3.1-Pro-Preview,Zooniverse,Uniform,pragmatic,few_shot,0.0,0.0,5,3
Gemini-3.1-Pro-Preview,Zooniverse,Uniform,pragmatic,one_shot,0.0,0.0,5,3
Gemini-3.1-Pro-Preview,Zooniverse,Uniform,pragmatic,zero_shot,1.0,0.0,5,3
