analysis_level,analysis_group,model,project,criterion,dimension,few_shot,one_shot,zero_shot
overall,all_models,DeepSeek-V4-Pro,Zooniverse,Atomic,syntactic,0.8983957219251335,0.924705882352941,0.8597058823529411
overall,all_models,DeepSeek-V4-Pro,Zooniverse,Estimatable,pragmatic,0.5909549018497315,0.5510059689028391,0.4486147186147186
overall,all_models,DeepSeek-V4-Pro,Zooniverse,Full sentence,pragmatic,0.0,0.0,0.6666666666666666
overall,all_models,DeepSeek-V4-Pro,Zooniverse,Minimal,syntactic,0.33261632341723874,0.0,0.0
overall,all_models,DeepSeek-V4-Pro,Zooniverse,Problem-oriented,semantic,0.5518266169183496,0.6151270164329865,0.5857074471190333
overall,all_models,DeepSeek-V4-Pro,Zooniverse,Unambiguous,semantic,0.6647055726098269,0.6652816888936117,0.6522911728794082
overall,all_models,DeepSeek-V4-Pro,Zooniverse,Uniform,pragmatic,0.0,0.0,0.4
overall,all_models,GPT-5-Mini,BADCamp,Atomic,syntactic,0.05714285714285714,0.13333333333333333,0.13333333333333333
overall,all_models,GPT-5-Mini,BADCamp,Conceptually sound,semantic,0.36,0.37333333333333335,0.43428571428571433
overall,all_models,GPT-5-Mini,BADCamp,Estimatable,pragmatic,0.10098762935247918,0.147156862745098,0.11621245828698552
overall,all_models,GPT-5-Mini,BADCamp,Full sentence,pragmatic,0.7416849816849818,0.6564102564102564,0.6659340659340659
overall,all_models,GPT-5-Mini,BADCamp,Independent,pragmatic,0.124047619047619,0.13402685660958297,0.1846749416425891
overall,all_models,GPT-5-Mini,BADCamp,Minimal,syntactic,0.5542417582417583,0.5,0.5274725274725275
overall,all_models,GPT-5-Mini,BADCamp,Problem-oriented,semantic,0.3535621873382784,0.5153832442067736,0.6742901842151117
overall,all_models,GPT-5-Mini,BADCamp,Unambiguous,semantic,0.4843203772837512,0.5068724230239684,0.4788034953582006
overall,all_models,GPT-5-Mini,BADCamp,Unique,pragmatic,0.2571428571428571,0.4666666666666666,0.4022222222222222
overall,all_models,GPT-5-Mini,PlanningPoker,Complete,pragmatic,0.0,0.0,0.08
overall,all_models,GPT-5-Mini,PlanningPoker,Estimatable,pragmatic,0.6025641025641025,0.5692307692307692,0.6136236312706901
overall,all_models,GPT-5-Mini,PlanningPoker,Minimal,syntactic,0.24558823529411766,0.2833333333333333,0.24499999999999997
overall,all_models,GPT-5-Mini,PlanningPoker,Problem-oriented,semantic,0.7333194733194733,0.7387988037559114,0.7822437252669812
overall,all_models,GPT-5-Mini,PlanningPoker,Unambiguous,semantic,0.6831785345717234,0.6721456046533445,0.6608187134502923
overall,all_models,GPT-5-Mini,PlanningPoker,Unique,pragmatic,0.6333333333333333,0.6933333333333334,0.6733333333333333
overall,all_models,GPT-5-Mini,Zooniverse,Atomic,syntactic,0.6950000000000001,0.7427272727272728,0.6227272727272727
overall,all_models,GPT-5-Mini,Zooniverse,Estimatable,pragmatic,0.37859078590785905,0.33786864954347223,0.32402150049208867
overall,all_models,GPT-5-Mini,Zooniverse,Full sentence,pragmatic,0.7333333333333333,0.8666666666666666,0.8666666666666666
overall,all_models,GPT-5-Mini,Zooniverse,Minimal,syntactic,0.07666666666666666,0.04,0.25326923076923075
overall,all_models,GPT-5-Mini,Zooniverse,Problem-oriented,semantic,0.3167311703732229,0.6051534701857283,0.7464686967479752
overall,all_models,GPT-5-Mini,Zooniverse,Unambiguous,semantic,0.7040534000834378,0.6861500155617802,0.647089947089947
overall,all_models,GPT-5-Mini,Zooniverse,Uniform,pragmatic,0.0,0.0,0.0
overall,all_models,Gemini-3.1-Pro-Preview,BADCamp,Atomic,syntactic,0.3142857142857143,0.6785714285714286,0.5714285714285714
overall,all_models,Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,semantic,0.19545454545454544,0.1802197802197802,0.2785714285714286
overall,all_models,Gemini-3.1-Pro-Preview,BADCamp,Estimatable,pragmatic,0.07999999999999999,0.11655913978494618,0.027586206896551717
overall,all_models,Gemini-3.1-Pro-Preview,BADCamp,Full sentence,pragmatic,0.6153846153846154,0.0,0.8723981900452488
overall,all_models,Gemini-3.1-Pro-Preview,BADCamp,Independent,pragmatic,0.09809523809523808,0.09902750764101138,0.10169491525423728
overall,all_models,Gemini-3.1-Pro-Preview,BADCamp,Minimal,syntactic,0.717741935483871,0.6009852216748769,0.5549071618037135
overall,all_models,Gemini-3.1-Pro-Preview,BADCamp,Problem-oriented,semantic,0.5324324324324324,0.6092927770976552,0.4738223938223937
overall,all_models,Gemini-3.1-Pro-Preview,BADCamp,Unambiguous,semantic,0.5025221417974194,0.4945220193340494,0.5336870026525199
overall,all_models,Gemini-3.1-Pro-Preview,BADCamp,Unique,pragmatic,1.0,1.0,1.0
overall,all_models,Gemini-3.1-Pro-Preview,PlanningPoker,Complete,pragmatic,0.0,0.0,0.0
overall,all_models,Gemini-3.1-Pro-Preview,PlanningPoker,Estimatable,pragmatic,0.6968325791855203,0.6196078431372549,0.5882352941176471
overall,all_models,Gemini-3.1-Pro-Preview,PlanningPoker,Minimal,syntactic,0.3529411764705882,0.4,0.26666666666666666
overall,all_models,Gemini-3.1-Pro-Preview,PlanningPoker,Problem-oriented,semantic,0.8164502164502165,0.875,0.8863221884498479
overall,all_models,Gemini-3.1-Pro-Preview,PlanningPoker,Unambiguous,semantic,0.6460084033613446,0.5510835913312693,0.5619047619047619
overall,all_models,Gemini-3.1-Pro-Preview,PlanningPoker,Unique,pragmatic,1.0,1.0,1.0
overall,all_models,Gemini-3.1-Pro-Preview,Zooniverse,Atomic,syntactic,0.870175438596491,0.8768421052631579,0.7019762845849803
overall,all_models,Gemini-3.1-Pro-Preview,Zooniverse,Estimatable,pragmatic,0.5519392243102759,0.2941176470588235,0.3428571428571428
overall,all_models,Gemini-3.1-Pro-Preview,Zooniverse,Full sentence,pragmatic,0.0,0.0,0.0
overall,all_models,Gemini-3.1-Pro-Preview,Zooniverse,Minimal,syntactic,0.0,0.0,0.0
overall,all_models,Gemini-3.1-Pro-Preview,Zooniverse,Problem-oriented,semantic,0.42096436058700204,0.5466424682395644,0.5517241379310345
overall,all_models,Gemini-3.1-Pro-Preview,Zooniverse,Unambiguous,semantic,0.6601092896174863,0.6231182795698924,0.5965156794425087
overall,all_models,Gemini-3.1-Pro-Preview,Zooniverse,Uniform,pragmatic,0.0,0.0,1.0
by_model,DeepSeek-V4-Pro,,BADCamp,Atomic,syntactic,0.4166666666666667,0.5622222222222222,0.3071428571428571
by_model,DeepSeek-V4-Pro,,BADCamp,Conceptually sound,semantic,0.3355555555555555,0.37,0.2911111111111111
by_model,DeepSeek-V4-Pro,,BADCamp,Estimatable,pragmatic,0.185365275142315,0.21556531703590526,0.10371245828698553
by_model,DeepSeek-V4-Pro,,BADCamp,Full sentence,pragmatic,0.8884119801766859,0.9275816993464051,0.9202614379084967
by_model,DeepSeek-V4-Pro,,BADCamp,Independent,pragmatic,0.13755383076494962,0.139391272590184,0.17462543554006965
by_model,DeepSeek-V4-Pro,,BADCamp,Minimal,syntactic,0.5960591133004927,0.5465494505494506,0.5800939749905267
by_model,DeepSeek-V4-Pro,,BADCamp,Problem-oriented,semantic,0.8201883777646961,0.8021580747343929,0.7905241935483871
by_model,DeepSeek-V4-Pro,,BADCamp,Unambiguous,semantic,0.47657267812183396,0.4786205757903871,0.486861063464837
by_model,DeepSeek-V4-Pro,,BADCamp,Unique,pragmatic,0.8,1.0,0.6799999999999999
by_model,DeepSeek-V4-Pro,,PlanningPoker,Complete,pragmatic,0.0,0.0,0.0
by_model,DeepSeek-V4-Pro,,PlanningPoker,Estimatable,pragmatic,0.6661764705882354,0.7273529411764705,0.7392717086834735
by_model,DeepSeek-V4-Pro,,PlanningPoker,Minimal,syntactic,0.5511192511192511,0.1,0.2
by_model,DeepSeek-V4-Pro,,PlanningPoker,Problem-oriented,semantic,0.8487883393202542,0.8651920620236992,0.8192613917502587
by_model,DeepSeek-V4-Pro,,PlanningPoker,Unambiguous,semantic,0.7095906432748538,0.654997341839447,0.6348917748917748
by_model,DeepSeek-V4-Pro,,PlanningPoker,Unique,pragmatic,0.76,0.7866666666666667,0.7276190476190476
by_model,DeepSeek-V4-Pro,,Zooniverse,Atomic,syntactic,0.8983957219251335,0.924705882352941,0.8597058823529411
by_model,DeepSeek-V4-Pro,,Zooniverse,Estimatable,pragmatic,0.5909549018497315,0.5510059689028391,0.4486147186147186
by_model,DeepSeek-V4-Pro,,Zooniverse,Full sentence,pragmatic,0.0,0.0,0.6666666666666666
by_model,DeepSeek-V4-Pro,,Zooniverse,Minimal,syntactic,0.33261632341723874,0.0,0.0
by_model,DeepSeek-V4-Pro,,Zooniverse,Problem-oriented,semantic,0.5518266169183496,0.6151270164329865,0.5857074471190333
by_model,DeepSeek-V4-Pro,,Zooniverse,Unambiguous,semantic,0.6647055726098269,0.6652816888936117,0.6522911728794082
by_model,DeepSeek-V4-Pro,,Zooniverse,Uniform,pragmatic,0.0,0.0,0.4
by_model,GPT-5-Mini,,BADCamp,Atomic,syntactic,0.05714285714285714,0.13333333333333333,0.13333333333333333
by_model,GPT-5-Mini,,BADCamp,Conceptually sound,semantic,0.36,0.37333333333333335,0.43428571428571433
by_model,GPT-5-Mini,,BADCamp,Estimatable,pragmatic,0.10098762935247918,0.147156862745098,0.11621245828698552
by_model,GPT-5-Mini,,BADCamp,Full sentence,pragmatic,0.7416849816849818,0.6564102564102564,0.6659340659340659
by_model,GPT-5-Mini,,BADCamp,Independent,pragmatic,0.124047619047619,0.13402685660958297,0.1846749416425891
by_model,GPT-5-Mini,,BADCamp,Minimal,syntactic,0.5542417582417583,0.5,0.5274725274725275
by_model,GPT-5-Mini,,BADCamp,Problem-oriented,semantic,0.3535621873382784,0.5153832442067736,0.6742901842151117
by_model,GPT-5-Mini,,BADCamp,Unambiguous,semantic,0.4843203772837512,0.5068724230239684,0.4788034953582006
by_model,GPT-5-Mini,,BADCamp,Unique,pragmatic,0.2571428571428571,0.4666666666666666,0.4022222222222222
by_model,GPT-5-Mini,,PlanningPoker,Complete,pragmatic,0.0,0.0,0.08
by_model,GPT-5-Mini,,PlanningPoker,Estimatable,pragmatic,0.6025641025641025,0.5692307692307692,0.6136236312706901
by_model,GPT-5-Mini,,PlanningPoker,Minimal,syntactic,0.24558823529411766,0.2833333333333333,0.24499999999999997
by_model,GPT-5-Mini,,PlanningPoker,Problem-oriented,semantic,0.7333194733194733,0.7387988037559114,0.7822437252669812
by_model,GPT-5-Mini,,PlanningPoker,Unambiguous,semantic,0.6831785345717234,0.6721456046533445,0.6608187134502923
by_model,GPT-5-Mini,,PlanningPoker,Unique,pragmatic,0.6333333333333333,0.6933333333333334,0.6733333333333333
by_model,GPT-5-Mini,,Zooniverse,Atomic,syntactic,0.6950000000000001,0.7427272727272728,0.6227272727272727
by_model,GPT-5-Mini,,Zooniverse,Estimatable,pragmatic,0.37859078590785905,0.33786864954347223,0.32402150049208867
by_model,GPT-5-Mini,,Zooniverse,Full sentence,pragmatic,0.7333333333333333,0.8666666666666666,0.8666666666666666
by_model,GPT-5-Mini,,Zooniverse,Minimal,syntactic,0.07666666666666666,0.04,0.25326923076923075
by_model,GPT-5-Mini,,Zooniverse,Problem-oriented,semantic,0.3167311703732229,0.6051534701857283,0.7464686967479752
by_model,GPT-5-Mini,,Zooniverse,Unambiguous,semantic,0.7040534000834378,0.6861500155617802,0.647089947089947
by_model,GPT-5-Mini,,Zooniverse,Uniform,pragmatic,0.0,0.0,0.0
by_model,Gemini-3.1-Pro-Preview,,BADCamp,Atomic,syntactic,0.3142857142857143,0.6785714285714286,0.5714285714285714
by_model,Gemini-3.1-Pro-Preview,,BADCamp,Conceptually sound,semantic,0.19545454545454544,0.1802197802197802,0.2785714285714286
by_model,Gemini-3.1-Pro-Preview,,BADCamp,Estimatable,pragmatic,0.07999999999999999,0.11655913978494618,0.027586206896551717
by_model,Gemini-3.1-Pro-Preview,,BADCamp,Full sentence,pragmatic,0.6153846153846154,0.0,0.8723981900452488
by_model,Gemini-3.1-Pro-Preview,,BADCamp,Independent,pragmatic,0.09809523809523808,0.09902750764101138,0.10169491525423728
by_model,Gemini-3.1-Pro-Preview,,BADCamp,Minimal,syntactic,0.717741935483871,0.6009852216748769,0.5549071618037135
by_model,Gemini-3.1-Pro-Preview,,BADCamp,Problem-oriented,semantic,0.5324324324324324,0.6092927770976552,0.4738223938223937
by_model,Gemini-3.1-Pro-Preview,,BADCamp,Unambiguous,semantic,0.5025221417974194,0.4945220193340494,0.5336870026525199
by_model,Gemini-3.1-Pro-Preview,,BADCamp,Unique,pragmatic,1.0,1.0,1.0
by_model,Gemini-3.1-Pro-Preview,,PlanningPoker,Complete,pragmatic,0.0,0.0,0.0
by_model,Gemini-3.1-Pro-Preview,,PlanningPoker,Estimatable,pragmatic,0.6968325791855203,0.6196078431372549,0.5882352941176471
by_model,Gemini-3.1-Pro-Preview,,PlanningPoker,Minimal,syntactic,0.3529411764705882,0.4,0.26666666666666666
by_model,Gemini-3.1-Pro-Preview,,PlanningPoker,Problem-oriented,semantic,0.8164502164502165,0.875,0.8863221884498479
by_model,Gemini-3.1-Pro-Preview,,PlanningPoker,Unambiguous,semantic,0.6460084033613446,0.5510835913312693,0.5619047619047619
by_model,Gemini-3.1-Pro-Preview,,PlanningPoker,Unique,pragmatic,1.0,1.0,1.0
by_model,Gemini-3.1-Pro-Preview,,Zooniverse,Atomic,syntactic,0.870175438596491,0.8768421052631579,0.7019762845849803
by_model,Gemini-3.1-Pro-Preview,,Zooniverse,Estimatable,pragmatic,0.5519392243102759,0.2941176470588235,0.3428571428571428
by_model,Gemini-3.1-Pro-Preview,,Zooniverse,Full sentence,pragmatic,0.0,0.0,0.0
by_model,Gemini-3.1-Pro-Preview,,Zooniverse,Minimal,syntactic,0.0,0.0,0.0
by_model,Gemini-3.1-Pro-Preview,,Zooniverse,Problem-oriented,semantic,0.42096436058700204,0.5466424682395644,0.5517241379310345
by_model,Gemini-3.1-Pro-Preview,,Zooniverse,Unambiguous,semantic,0.6601092896174863,0.6231182795698924,0.5965156794425087
by_model,Gemini-3.1-Pro-Preview,,Zooniverse,Uniform,pragmatic,0.0,0.0,1.0
by_criterion,Atomic,DeepSeek-V4-Pro,BADCamp,,syntactic,0.4166666666666667,0.5622222222222222,0.3071428571428571
by_criterion,Atomic,DeepSeek-V4-Pro,Zooniverse,,syntactic,0.8983957219251335,0.924705882352941,0.8597058823529411
by_criterion,Atomic,GPT-5-Mini,BADCamp,,syntactic,0.05714285714285714,0.13333333333333333,0.13333333333333333
by_criterion,Atomic,GPT-5-Mini,Zooniverse,,syntactic,0.6950000000000001,0.7427272727272728,0.6227272727272727
by_criterion,Atomic,Gemini-3.1-Pro-Preview,BADCamp,,syntactic,0.3142857142857143,0.6785714285714286,0.5714285714285714
by_criterion,Atomic,Gemini-3.1-Pro-Preview,Zooniverse,,syntactic,0.870175438596491,0.8768421052631579,0.7019762845849803
by_criterion,Complete,DeepSeek-V4-Pro,PlanningPoker,,pragmatic,0.0,0.0,0.0
by_criterion,Complete,GPT-5-Mini,PlanningPoker,,pragmatic,0.0,0.0,0.08
by_criterion,Complete,Gemini-3.1-Pro-Preview,PlanningPoker,,pragmatic,0.0,0.0,0.0
by_criterion,Conceptually sound,DeepSeek-V4-Pro,BADCamp,,semantic,0.3355555555555555,0.37,0.2911111111111111
by_criterion,Conceptually sound,GPT-5-Mini,BADCamp,,semantic,0.36,0.37333333333333335,0.43428571428571433
by_criterion,Conceptually sound,Gemini-3.1-Pro-Preview,BADCamp,,semantic,0.19545454545454544,0.1802197802197802,0.2785714285714286
by_criterion,Estimatable,DeepSeek-V4-Pro,BADCamp,,pragmatic,0.185365275142315,0.21556531703590526,0.10371245828698553
by_criterion,Estimatable,DeepSeek-V4-Pro,PlanningPoker,,pragmatic,0.6661764705882354,0.7273529411764705,0.7392717086834735
by_criterion,Estimatable,DeepSeek-V4-Pro,Zooniverse,,pragmatic,0.5909549018497315,0.5510059689028391,0.4486147186147186
by_criterion,Estimatable,GPT-5-Mini,BADCamp,,pragmatic,0.10098762935247918,0.147156862745098,0.11621245828698552
by_criterion,Estimatable,GPT-5-Mini,PlanningPoker,,pragmatic,0.6025641025641025,0.5692307692307692,0.6136236312706901
by_criterion,Estimatable,GPT-5-Mini,Zooniverse,,pragmatic,0.37859078590785905,0.33786864954347223,0.32402150049208867
by_criterion,Estimatable,Gemini-3.1-Pro-Preview,BADCamp,,pragmatic,0.07999999999999999,0.11655913978494618,0.027586206896551717
by_criterion,Estimatable,Gemini-3.1-Pro-Preview,PlanningPoker,,pragmatic,0.6968325791855203,0.6196078431372549,0.5882352941176471
by_criterion,Estimatable,Gemini-3.1-Pro-Preview,Zooniverse,,pragmatic,0.5519392243102759,0.2941176470588235,0.3428571428571428
by_criterion,Full sentence,DeepSeek-V4-Pro,BADCamp,,pragmatic,0.8884119801766859,0.9275816993464051,0.9202614379084967
by_criterion,Full sentence,DeepSeek-V4-Pro,Zooniverse,,pragmatic,0.0,0.0,0.6666666666666666
by_criterion,Full sentence,GPT-5-Mini,BADCamp,,pragmatic,0.7416849816849818,0.6564102564102564,0.6659340659340659
by_criterion,Full sentence,GPT-5-Mini,Zooniverse,,pragmatic,0.7333333333333333,0.8666666666666666,0.8666666666666666
by_criterion,Full sentence,Gemini-3.1-Pro-Preview,BADCamp,,pragmatic,0.6153846153846154,0.0,0.8723981900452488
by_criterion,Full sentence,Gemini-3.1-Pro-Preview,Zooniverse,,pragmatic,0.0,0.0,0.0
by_criterion,Independent,DeepSeek-V4-Pro,BADCamp,,pragmatic,0.13755383076494962,0.139391272590184,0.17462543554006965
by_criterion,Independent,GPT-5-Mini,BADCamp,,pragmatic,0.124047619047619,0.13402685660958297,0.1846749416425891
by_criterion,Independent,Gemini-3.1-Pro-Preview,BADCamp,,pragmatic,0.09809523809523808,0.09902750764101138,0.10169491525423728
by_criterion,Minimal,DeepSeek-V4-Pro,BADCamp,,syntactic,0.5960591133004927,0.5465494505494506,0.5800939749905267
by_criterion,Minimal,DeepSeek-V4-Pro,PlanningPoker,,syntactic,0.5511192511192511,0.1,0.2
by_criterion,Minimal,DeepSeek-V4-Pro,Zooniverse,,syntactic,0.33261632341723874,0.0,0.0
by_criterion,Minimal,GPT-5-Mini,BADCamp,,syntactic,0.5542417582417583,0.5,0.5274725274725275
by_criterion,Minimal,GPT-5-Mini,PlanningPoker,,syntactic,0.24558823529411766,0.2833333333333333,0.24499999999999997
by_criterion,Minimal,GPT-5-Mini,Zooniverse,,syntactic,0.07666666666666666,0.04,0.25326923076923075
by_criterion,Minimal,Gemini-3.1-Pro-Preview,BADCamp,,syntactic,0.717741935483871,0.6009852216748769,0.5549071618037135
by_criterion,Minimal,Gemini-3.1-Pro-Preview,PlanningPoker,,syntactic,0.3529411764705882,0.4,0.26666666666666666
by_criterion,Minimal,Gemini-3.1-Pro-Preview,Zooniverse,,syntactic,0.0,0.0,0.0
by_criterion,Problem-oriented,DeepSeek-V4-Pro,BADCamp,,semantic,0.8201883777646961,0.8021580747343929,0.7905241935483871
by_criterion,Problem-oriented,DeepSeek-V4-Pro,PlanningPoker,,semantic,0.8487883393202542,0.8651920620236992,0.8192613917502587
by_criterion,Problem-oriented,DeepSeek-V4-Pro,Zooniverse,,semantic,0.5518266169183496,0.6151270164329865,0.5857074471190333
by_criterion,Problem-oriented,GPT-5-Mini,BADCamp,,semantic,0.3535621873382784,0.5153832442067736,0.6742901842151117
by_criterion,Problem-oriented,GPT-5-Mini,PlanningPoker,,semantic,0.7333194733194733,0.7387988037559114,0.7822437252669812
by_criterion,Problem-oriented,GPT-5-Mini,Zooniverse,,semantic,0.3167311703732229,0.6051534701857283,0.7464686967479752
by_criterion,Problem-oriented,Gemini-3.1-Pro-Preview,BADCamp,,semantic,0.5324324324324324,0.6092927770976552,0.4738223938223937
by_criterion,Problem-oriented,Gemini-3.1-Pro-Preview,PlanningPoker,,semantic,0.8164502164502165,0.875,0.8863221884498479
by_criterion,Problem-oriented,Gemini-3.1-Pro-Preview,Zooniverse,,semantic,0.42096436058700204,0.5466424682395644,0.5517241379310345
by_criterion,Unambiguous,DeepSeek-V4-Pro,BADCamp,,semantic,0.47657267812183396,0.4786205757903871,0.486861063464837
by_criterion,Unambiguous,DeepSeek-V4-Pro,PlanningPoker,,semantic,0.7095906432748538,0.654997341839447,0.6348917748917748
by_criterion,Unambiguous,DeepSeek-V4-Pro,Zooniverse,,semantic,0.6647055726098269,0.6652816888936117,0.6522911728794082
by_criterion,Unambiguous,GPT-5-Mini,BADCamp,,semantic,0.4843203772837512,0.5068724230239684,0.4788034953582006
by_criterion,Unambiguous,GPT-5-Mini,PlanningPoker,,semantic,0.6831785345717234,0.6721456046533445,0.6608187134502923
by_criterion,Unambiguous,GPT-5-Mini,Zooniverse,,semantic,0.7040534000834378,0.6861500155617802,0.647089947089947
by_criterion,Unambiguous,Gemini-3.1-Pro-Preview,BADCamp,,semantic,0.5025221417974194,0.4945220193340494,0.5336870026525199
by_criterion,Unambiguous,Gemini-3.1-Pro-Preview,PlanningPoker,,semantic,0.6460084033613446,0.5510835913312693,0.5619047619047619
by_criterion,Unambiguous,Gemini-3.1-Pro-Preview,Zooniverse,,semantic,0.6601092896174863,0.6231182795698924,0.5965156794425087
by_criterion,Uniform,DeepSeek-V4-Pro,Zooniverse,,pragmatic,0.0,0.0,0.4
by_criterion,Uniform,GPT-5-Mini,Zooniverse,,pragmatic,0.0,0.0,0.0
by_criterion,Uniform,Gemini-3.1-Pro-Preview,Zooniverse,,pragmatic,0.0,0.0,1.0
by_criterion,Unique,DeepSeek-V4-Pro,BADCamp,,pragmatic,0.8,1.0,0.6799999999999999
by_criterion,Unique,DeepSeek-V4-Pro,PlanningPoker,,pragmatic,0.76,0.7866666666666667,0.7276190476190476
by_criterion,Unique,GPT-5-Mini,BADCamp,,pragmatic,0.2571428571428571,0.4666666666666666,0.4022222222222222
by_criterion,Unique,GPT-5-Mini,PlanningPoker,,pragmatic,0.6333333333333333,0.6933333333333334,0.6733333333333333
by_criterion,Unique,Gemini-3.1-Pro-Preview,BADCamp,,pragmatic,1.0,1.0,1.0
by_criterion,Unique,Gemini-3.1-Pro-Preview,PlanningPoker,,pragmatic,1.0,1.0,1.0
