model,criterion,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
GPT-4.1,Complete,178,0,4,0,174,0.0,,,0.9775280898876404,0.9775280898876404,,0.02247191011235955,,1.0,
GPT-4.1,Conceptually sound,176,1,66,0,109,0.014925373134328358,1.0,0.029411764705882353,0.6228571428571429,0.625,0.8114285714285714,0.37714285714285717,0.0,1.0,0.09641771241076258
GPT-4.1,Conflict-free,180,0,0,0,180,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,Estimatable,129,23,12,14,80,0.6571428571428571,0.6216216216216216,0.6388888888888888,0.8695652173913043,0.7984496124031008,0.745593419506463,0.13043478260869565,0.3783783783783784,0.851063829787234,0.4996242949641492
GPT-4.1,Full sentence,177,8,9,0,160,0.47058823529411764,1.0,0.6399999999999999,0.9467455621301775,0.9491525423728814,0.9733727810650887,0.05325443786982249,0.0,1.0,0.6674783317497114
GPT-4.1,Independent,156,3,28,0,125,0.0967741935483871,1.0,0.17647058823529413,0.8169934640522876,0.8205128205128205,0.9084967320261438,0.1830065359477124,0.0,1.0,0.2811830073421282
GPT-4.1,Minimal,133,5,0,15,113,1.0,0.25,0.4,1.0,0.8872180451127819,0.625,0.0,0.75,0.8828125,0.46979051182415343
GPT-4.1,Problem-oriented,140,25,2,58,55,0.9259259259259259,0.30120481927710846,0.4545454545454546,0.9649122807017544,0.5714285714285714,0.6330585499894315,0.03508771929824561,0.6987951807228916,0.48672566371681414,0.3313814182138065
GPT-4.1,Unambiguous,144,16,17,34,77,0.48484848484848486,0.32,0.38554216867469876,0.8191489361702128,0.6458333333333334,0.5695744680851064,0.18085106382978725,0.68,0.6936936936936937,0.1576196504426283
GPT-4.1,Uniform,182,0,9,3,170,0.0,0.0,0.0,0.9497206703910615,0.9340659340659341,0.4748603351955307,0.05027932960893855,1.0,0.9826589595375722,-0.029527883249097702
GPT-4.1,Unique,176,2,0,2,172,1.0,0.5,0.6666666666666666,1.0,0.9886363636363636,0.75,0.0,0.5,0.9885057471264368,0.7030312038332426
GPT-4.1,Well-formed,182,0,0,0,182,,,,1.0,1.0,,0.0,,1.0,
GPT-5.2,Atomic,162,5,16,0,141,0.23809523809523808,1.0,0.3846153846153846,0.8980891719745223,0.9012345679012346,0.9490445859872612,0.10191082802547771,0.0,1.0,0.46241837683209464
GPT-5.2,Complete,178,0,60,0,118,0.0,,,0.6629213483146067,0.6629213483146067,,0.33707865168539325,,1.0,
GPT-5.2,Conceptually sound,176,1,59,0,116,0.016666666666666666,1.0,0.03278688524590164,0.6628571428571428,0.6647727272727273,0.8314285714285714,0.33714285714285713,0.0,1.0,0.10510765456244874
GPT-5.2,Conflict-free,180,0,3,0,177,0.0,,,0.9833333333333333,0.9833333333333333,,0.016666666666666666,,1.0,
GPT-5.2,Estimatable,129,22,40,15,52,0.3548387096774194,0.5945945945945946,0.4444444444444445,0.5652173913043478,0.5736434108527132,0.5799059929494712,0.43478260869565216,0.40540540540540543,0.7761194029850746,0.1446674671588972
GPT-5.2,Full sentence,177,8,3,0,166,0.7272727272727273,1.0,0.8421052631578948,0.9822485207100592,0.9830508474576272,0.9911242603550297,0.01775147928994083,0.0,1.0,0.8451997163489863
GPT-5.2,Independent,156,3,83,0,70,0.03488372093023256,1.0,0.06741573033707865,0.45751633986928103,0.46794871794871795,0.7287581699346405,0.5424836601307189,0.0,1.0,0.1263323882502877
GPT-5.2,Minimal,133,2,0,18,113,1.0,0.1,0.18181818181818182,1.0,0.8646616541353384,0.55,0.0,0.9,0.8625954198473282,0.29369974801612075
GPT-5.2,Problem-oriented,140,46,1,37,56,0.9787234042553191,0.5542168674698795,0.7076923076923076,0.9824561403508771,0.7285714285714285,0.7683365039103783,0.017543859649122806,0.4457831325301205,0.6021505376344086,0.5583362477563674
GPT-5.2,Unambiguous,144,44,68,6,26,0.39285714285714285,0.88,0.5432098765432098,0.2765957446808511,0.4861111111111111,0.5782978723404255,0.723404255319149,0.12,0.8125,0.1793266703846536
GPT-5.2,Uniform,182,0,5,3,174,0.0,0.0,0.0,0.9720670391061452,0.9560439560439561,0.4860335195530726,0.027932960893854747,1.0,0.9830508474576272,-0.021758676778473467
GPT-5.2,Unique,176,4,6,0,166,0.4,1.0,0.5714285714285715,0.9651162790697675,0.9659090909090909,0.9825581395348837,0.03488372093023256,0.0,1.0,0.6213264131098138
GPT-5.2,Well-formed,182,0,0,0,182,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,Atomic,162,5,1,0,156,0.8333333333333334,1.0,0.9090909090909091,0.9936305732484076,0.9938271604938271,0.9968152866242038,0.006369426751592357,0.0,1.0,0.9099590527639178
Gemini-3.1-Pro-Preview,Complete,178,0,39,0,139,0.0,,,0.7808988764044944,0.7808988764044944,,0.21910112359550563,,1.0,
Gemini-3.1-Pro-Preview,Conceptually sound,176,1,29,0,146,0.03333333333333333,1.0,0.06451612903225806,0.8342857142857143,0.8352272727272727,0.9171428571428571,0.1657142857142857,0.0,1.0,0.1667618775665584
Gemini-3.1-Pro-Preview,Conflict-free,180,0,3,0,177,0.0,,,0.9833333333333333,0.9833333333333333,,0.016666666666666666,,1.0,
Gemini-3.1-Pro-Preview,Estimatable,129,14,19,23,73,0.42424242424242425,0.3783783783783784,0.4000000000000001,0.7934782608695652,0.6744186046511628,0.5859283196239717,0.20652173913043478,0.6216216216216216,0.7604166666666666,0.17814289424565005
Gemini-3.1-Pro-Preview,Full sentence,177,2,0,6,169,1.0,0.25,0.4,1.0,0.9661016949152542,0.625,0.0,0.75,0.9657142857142857,0.4913538149119954
Gemini-3.1-Pro-Preview,Independent,156,3,80,0,73,0.03614457831325301,1.0,0.06976744186046512,0.477124183006536,0.48717948717948717,0.738562091503268,0.5228758169934641,0.0,1.0,0.13132194179887305
Gemini-3.1-Pro-Preview,Minimal,133,5,1,15,112,0.8333333333333334,0.25,0.3846153846153846,0.9911504424778761,0.8796992481203008,0.620575221238938,0.008849557522123894,0.75,0.8818897637795275,0.41530274058710875
Gemini-3.1-Pro-Preview,Problem-oriented,140,47,4,36,53,0.9215686274509803,0.5662650602409639,0.7014925373134329,0.9298245614035088,0.7142857142857143,0.7480448108222364,0.07017543859649122,0.43373493975903615,0.5955056179775281,0.5064732636346463
Gemini-3.1-Pro-Preview,Unambiguous,144,25,15,25,79,0.625,0.5,0.5555555555555556,0.8404255319148937,0.7222222222222222,0.6702127659574468,0.1595744680851064,0.5,0.7596153846153846,0.36184651012596997
Gemini-3.1-Pro-Preview,Uniform,182,0,0,3,179,,0.0,,1.0,0.9835164835164835,0.5,0.0,1.0,0.9835164835164835,
Gemini-3.1-Pro-Preview,Unique,176,4,2,0,170,0.6666666666666666,1.0,0.8,0.9883720930232558,0.9886363636363636,0.9941860465116279,0.011627906976744186,0.0,1.0,0.8117356273332904
Gemini-3.1-Pro-Preview,Well-formed,182,0,0,0,182,,,,1.0,1.0,,0.0,,1.0,
