model,project,criterion,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
DeepSeek-V4-Pro,PlanningPoker,Independent,44,0,28,0,16,0.0,,,0.36363636363636365,0.36363636363636365,,0.6363636363636364,,1.0,
DeepSeek-V4-Pro,PlanningPoker,Minimal,46,0,0,8,38,,0.0,,1.0,0.8260869565217391,0.5,0.0,1.0,0.8260869565217391,
DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,49,18,2,5,24,0.9,0.782608695652174,0.8372093023255814,0.9230769230769231,0.8571428571428571,0.8528428093645486,0.07692307692307693,0.21739130434782608,0.8275862068965517,0.7165522469384559
DeepSeek-V4-Pro,PlanningPoker,Unambiguous,46,5,3,0,38,0.625,1.0,0.7692307692307693,0.926829268292683,0.9347826086956522,0.9634146341463414,0.07317073170731707,0.0,1.0,0.7610967695917037
DeepSeek-V4-Pro,PlanningPoker,Uniform,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
DeepSeek-V4-Pro,PlanningPoker,Unique,51,2,2,0,47,0.5,1.0,0.6666666666666666,0.9591836734693877,0.9607843137254902,0.9795918367346939,0.04081632653061224,0.0,1.0,0.6925256939166184
DeepSeek-V4-Pro,PlanningPoker,Well-formed,53,0,1,0,52,0.0,,,0.9811320754716981,0.9811320754716981,,0.018867924528301886,,1.0,
DeepSeek-V4-Pro,Zooniverse,Atomic,49,3,0,0,46,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
DeepSeek-V4-Pro,Zooniverse,Complete,59,0,29,0,30,0.0,,,0.5084745762711864,0.5084745762711864,,0.4915254237288136,,1.0,
DeepSeek-V4-Pro,Zooniverse,Conceptually sound,60,0,55,0,5,0.0,,,0.08333333333333333,0.08333333333333333,,0.9166666666666666,,1.0,
DeepSeek-V4-Pro,Zooniverse,Conflict-free,60,0,0,0,60,,,,1.0,1.0,,0.0,,1.0,
DeepSeek-V4-Pro,Zooniverse,Estimatable,41,8,11,0,22,0.42105263157894735,1.0,0.5925925925925926,0.6666666666666666,0.7317073170731707,0.8333333333333333,0.3333333333333333,0.0,1.0,0.5298129428260175
DeepSeek-V4-Pro,Zooniverse,Full sentence,59,0,0,1,58,,0.0,,1.0,0.9830508474576272,0.5,0.0,1.0,0.9830508474576272,
DeepSeek-V4-Pro,Zooniverse,Independent,53,0,3,0,50,0.0,,,0.9433962264150944,0.9433962264150944,,0.05660377358490566,,1.0,
DeepSeek-V4-Pro,Zooniverse,Minimal,33,0,0,5,28,,0.0,,1.0,0.8484848484848485,0.5,0.0,1.0,0.8484848484848485,
DeepSeek-V4-Pro,Zooniverse,Problem-oriented,37,12,0,25,0,1.0,0.32432432432432434,0.489795918367347,,0.32432432432432434,,,0.6756756756756757,0.0,
DeepSeek-V4-Pro,Zooniverse,Unambiguous,51,12,18,0,21,0.4,1.0,0.5714285714285715,0.5384615384615384,0.6470588235294118,0.7692307692307692,0.46153846153846156,0.0,1.0,0.46409548089225716
DeepSeek-V4-Pro,Zooniverse,Uniform,60,0,0,3,57,,0.0,,1.0,0.95,0.5,0.0,1.0,0.95,
DeepSeek-V4-Pro,Zooniverse,Unique,58,0,0,0,58,,,,1.0,1.0,,0.0,,1.0,
DeepSeek-V4-Pro,Zooniverse,Well-formed,60,0,0,0,60,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,BADCamp,Atomic,62,2,5,0,55,0.2857142857142857,1.0,0.4444444444444445,0.9166666666666666,0.9193548387096774,0.9583333333333333,0.08333333333333333,0.0,1.0,0.511766315719159
GPT-4.1,BADCamp,Complete,67,0,4,0,63,0.0,,,0.9402985074626866,0.9402985074626866,,0.05970149253731343,,1.0,
GPT-4.1,BADCamp,Conceptually sound,64,1,11,0,52,0.08333333333333333,1.0,0.15384615384615385,0.8253968253968254,0.828125,0.9126984126984127,0.1746031746031746,0.0,1.0,0.26226526415648105
GPT-4.1,BADCamp,Conflict-free,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,BADCamp,Estimatable,44,10,2,14,18,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.9,0.6363636363636364,0.6583333333333333,0.1,0.5833333333333334,0.5625,0.3540440964374667
GPT-4.1,BADCamp,Full sentence,65,7,8,0,50,0.4666666666666667,1.0,0.6363636363636364,0.8620689655172413,0.8769230769230769,0.9310344827586207,0.13793103448275862,0.0,1.0,0.6342703292561561
GPT-4.1,BADCamp,Independent,59,3,4,0,52,0.42857142857142855,1.0,0.6,0.9285714285714286,0.9322033898305084,0.9642857142857143,0.07142857142857142,0.0,1.0,0.6308400618805605
GPT-4.1,BADCamp,Minimal,54,5,0,2,47,1.0,0.7142857142857143,0.8333333333333333,1.0,0.9629629629629629,0.8571428571428572,0.0,0.2857142857142857,0.9591836734693877,0.8277265220682958
GPT-4.1,BADCamp,Problem-oriented,54,11,0,12,31,1.0,0.4782608695652174,0.6470588235294118,1.0,0.7777777777777778,0.7391304347826086,0.0,0.5217391304347826,0.7209302325581395,0.5871905311899284
GPT-4.1,BADCamp,Unambiguous,47,5,0,28,14,1.0,0.15151515151515152,0.2631578947368421,1.0,0.40425531914893614,0.5757575757575758,0.0,0.8484848484848485,0.3333333333333333,0.22473328748774735
GPT-4.1,BADCamp,Uniform,69,0,9,0,60,0.0,,,0.8695652173913043,0.8695652173913043,,0.13043478260869565,,1.0,
GPT-4.1,BADCamp,Unique,67,2,0,0,65,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
GPT-4.1,BADCamp,Well-formed,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,PlanningPoker,Atomic,51,0,0,0,51,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,PlanningPoker,Complete,52,0,0,0,52,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,PlanningPoker,Conceptually sound,52,0,0,0,52,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,PlanningPoker,Conflict-free,51,0,0,0,51,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,PlanningPoker,Estimatable,44,5,2,0,37,0.7142857142857143,1.0,0.8333333333333333,0.9487179487179487,0.9545454545454546,0.9743589743589743,0.05128205128205128,0.0,1.0,0.8231984436669433
GPT-4.1,PlanningPoker,Full sentence,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,PlanningPoker,Independent,44,0,24,0,20,0.0,,,0.45454545454545453,0.45454545454545453,,0.5454545454545454,,1.0,
GPT-4.1,PlanningPoker,Minimal,46,0,0,8,38,,0.0,,1.0,0.8260869565217391,0.5,0.0,1.0,0.8260869565217391,
GPT-4.1,PlanningPoker,Problem-oriented,49,13,2,10,24,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.9230769230769231,0.7551020408163265,0.7441471571906355,0.07692307692307693,0.43478260869565216,0.7058823529411765,0.5287460931099923
GPT-4.1,PlanningPoker,Unambiguous,46,4,1,1,40,0.8,0.8,0.8000000000000002,0.975609756097561,0.9565217391304348,0.8878048780487805,0.024390243902439025,0.2,0.975609756097561,0.775609756097561
GPT-4.1,PlanningPoker,Uniform,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,PlanningPoker,Unique,51,0,0,2,49,,0.0,,1.0,0.9607843137254902,0.5,0.0,1.0,0.9607843137254902,
GPT-4.1,PlanningPoker,Well-formed,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,Zooniverse,Atomic,49,3,9,0,37,0.25,1.0,0.4,0.8043478260869565,0.8163265306122449,0.9021739130434783,0.1956521739130435,0.0,1.0,0.44842720314644063
GPT-4.1,Zooniverse,Complete,59,0,0,0,59,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,Zooniverse,Conceptually sound,60,0,55,0,5,0.0,,,0.08333333333333333,0.08333333333333333,,0.9166666666666666,,1.0,
GPT-4.1,Zooniverse,Conflict-free,60,0,0,0,60,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,Zooniverse,Estimatable,41,8,8,0,25,0.5,1.0,0.6666666666666666,0.7575757575757576,0.8048780487804879,0.8787878787878788,0.24242424242424243,0.0,1.0,0.6154574548966636
GPT-4.1,Zooniverse,Full sentence,59,1,1,0,57,0.5,1.0,0.6666666666666666,0.9827586206896551,0.9830508474576272,0.9913793103448276,0.017241379310344827,0.0,1.0,0.7009845293191765
GPT-4.1,Zooniverse,Independent,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,Zooniverse,Minimal,33,0,0,5,28,,0.0,,1.0,0.8484848484848485,0.5,0.0,1.0,0.8484848484848485,
GPT-4.1,Zooniverse,Problem-oriented,37,1,0,36,0,1.0,0.02702702702702703,0.052631578947368425,,0.02702702702702703,,,0.972972972972973,0.0,
GPT-4.1,Zooniverse,Unambiguous,51,7,16,5,23,0.30434782608695654,0.5833333333333334,0.4,0.5897435897435898,0.5882352941176471,0.5865384615384616,0.41025641025641024,0.4166666666666667,0.8214285714285714,0.14754318648344128
GPT-4.1,Zooniverse,Uniform,60,0,0,3,57,,0.0,,1.0,0.95,0.5,0.0,1.0,0.95,
GPT-4.1,Zooniverse,Unique,58,0,0,0,58,,,,1.0,1.0,,0.0,,1.0,
GPT-4.1,Zooniverse,Well-formed,60,0,0,0,60,,,,1.0,1.0,,0.0,,1.0,
GPT-5.2,BADCamp,Atomic,62,2,6,0,54,0.25,1.0,0.4,0.9,0.9032258064516129,0.95,0.1,0.0,1.0,0.4743416490252569
GPT-5.2,BADCamp,Complete,67,0,20,0,47,0.0,,,0.7014925373134329,0.7014925373134329,,0.29850746268656714,,1.0,
GPT-5.2,BADCamp,Conceptually sound,64,1,3,0,60,0.25,1.0,0.4,0.9523809523809523,0.953125,0.9761904761904762,0.047619047619047616,0.0,1.0,0.4879500364742666
GPT-5.2,BADCamp,Conflict-free,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
GPT-5.2,BADCamp,Estimatable,44,9,3,15,17,0.75,0.375,0.5,0.85,0.5909090909090909,0.6125,0.15,0.625,0.53125,0.25155764746872633
GPT-5.2,BADCamp,Full sentence,65,7,2,0,56,0.7777777777777778,1.0,0.8750000000000001,0.9655172413793104,0.9692307692307692,0.9827586206896552,0.034482758620689655,0.0,1.0,0.866578244826242
GPT-5.2,BADCamp,Independent,59,3,38,0,18,0.07317073170731707,1.0,0.13636363636363635,0.32142857142857145,0.3559322033898305,0.6607142857142857,0.6785714285714286,0.0,1.0,0.1533595897329743
GPT-5.2,BADCamp,Minimal,54,2,0,5,47,1.0,0.2857142857142857,0.4444444444444445,1.0,0.9074074074074074,0.6428571428571428,0.0,0.7142857142857143,0.9038461538461539,0.5081749287811809
GPT-5.2,BADCamp,Problem-oriented,54,15,0,8,31,1.0,0.6521739130434783,0.7894736842105263,1.0,0.8518518518518519,0.8260869565217391,0.0,0.34782608695652173,0.7948717948717948,0.7199962838997375
GPT-5.2,BADCamp,Unambiguous,47,27,5,6,9,0.84375,0.8181818181818182,0.8307692307692308,0.6428571428571429,0.7659574468085106,0.7305194805194806,0.35714285714285715,0.18181818181818182,0.6,0.4523118824008927
GPT-5.2,BADCamp,Uniform,69,0,5,0,64,0.0,,,0.927536231884058,0.927536231884058,,0.07246376811594203,,1.0,
GPT-5.2,BADCamp,Unique,67,2,4,0,61,0.3333333333333333,1.0,0.5,0.9384615384615385,0.9402985074626866,0.9692307692307692,0.06153846153846154,0.0,1.0,0.5593035962878415
GPT-5.2,BADCamp,Well-formed,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
GPT-5.2,PlanningPoker,Atomic,51,0,3,0,48,0.0,,,0.9411764705882353,0.9411764705882353,,0.058823529411764705,,1.0,
GPT-5.2,PlanningPoker,Complete,52,0,10,0,42,0.0,,,0.8076923076923077,0.8076923076923077,,0.19230769230769232,,1.0,
GPT-5.2,PlanningPoker,Conceptually sound,52,0,0,0,52,,,,1.0,1.0,,0.0,,1.0,
GPT-5.2,PlanningPoker,Conflict-free,51,0,3,0,48,0.0,,,0.9411764705882353,0.9411764705882353,,0.058823529411764705,,1.0,
GPT-5.2,PlanningPoker,Estimatable,44,5,8,0,31,0.38461538461538464,1.0,0.5555555555555556,0.7948717948717948,0.8181818181818182,0.8974358974358974,0.20512820512820512,0.0,1.0,0.5529194526371237
GPT-5.2,PlanningPoker,Full sentence,53,0,1,0,52,0.0,,,0.9811320754716981,0.9811320754716981,,0.018867924528301886,,1.0,
GPT-5.2,PlanningPoker,Independent,44,0,32,0,12,0.0,,,0.2727272727272727,0.2727272727272727,,0.7272727272727273,,1.0,
GPT-5.2,PlanningPoker,Minimal,46,0,0,8,38,,0.0,,1.0,0.8260869565217391,0.5,0.0,1.0,0.8260869565217391,
GPT-5.2,PlanningPoker,Problem-oriented,49,18,1,5,25,0.9473684210526315,0.782608695652174,0.8571428571428571,0.9615384615384616,0.8775510204081632,0.8720735785953178,0.038461538461538464,0.21739130434782608,0.8333333333333334,0.7622053470949003
GPT-5.2,PlanningPoker,Unambiguous,46,5,24,0,17,0.1724137931034483,1.0,0.29411764705882354,0.4146341463414634,0.4782608695652174,0.7073170731707317,0.5853658536585366,0.0,1.0,0.2673736073754139
GPT-5.2,PlanningPoker,Uniform,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
GPT-5.2,PlanningPoker,Unique,51,2,2,0,47,0.5,1.0,0.6666666666666666,0.9591836734693877,0.9607843137254902,0.9795918367346939,0.04081632653061224,0.0,1.0,0.6925256939166184
GPT-5.2,PlanningPoker,Well-formed,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
GPT-5.2,Zooniverse,Atomic,49,3,7,0,39,0.3,1.0,0.4615384615384615,0.8478260869565217,0.8571428571428571,0.9239130434782609,0.15217391304347827,0.0,1.0,0.5043290851090749
GPT-5.2,Zooniverse,Complete,59,0,30,0,29,0.0,,,0.4915254237288136,0.4915254237288136,,0.5084745762711864,,1.0,
GPT-5.2,Zooniverse,Conceptually sound,60,0,56,0,4,0.0,,,0.06666666666666667,0.06666666666666667,,0.9333333333333333,,1.0,
GPT-5.2,Zooniverse,Conflict-free,60,0,0,0,60,,,,1.0,1.0,,0.0,,1.0,
GPT-5.2,Zooniverse,Estimatable,41,8,29,0,4,0.21621621621621623,1.0,0.35555555555555557,0.12121212121212122,0.2926829268292683,0.5606060606060606,0.8787878787878788,0.0,1.0,0.1618889317032706
GPT-5.2,Zooniverse,Full sentence,59,1,0,0,58,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
GPT-5.2,Zooniverse,Independent,53,0,13,0,40,0.0,,,0.7547169811320755,0.7547169811320755,,0.24528301886792453,,1.0,
GPT-5.2,Zooniverse,Minimal,33,0,0,5,28,,0.0,,1.0,0.8484848484848485,0.5,0.0,1.0,0.8484848484848485,
GPT-5.2,Zooniverse,Problem-oriented,37,13,0,24,0,1.0,0.35135135135135137,0.52,,0.35135135135135137,,,0.6486486486486487,0.0,
GPT-5.2,Zooniverse,Unambiguous,51,12,39,0,0,0.23529411764705882,1.0,0.38095238095238093,0.0,0.23529411764705882,0.5,1.0,0.0,,
GPT-5.2,Zooniverse,Uniform,60,0,0,3,57,,0.0,,1.0,0.95,0.5,0.0,1.0,0.95,
GPT-5.2,Zooniverse,Unique,58,0,0,0,58,,,,1.0,1.0,,0.0,,1.0,
GPT-5.2,Zooniverse,Well-formed,60,0,0,0,60,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,BADCamp,Atomic,62,2,0,0,60,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Gemini-3.1-Pro-Preview,BADCamp,Complete,67,0,6,0,61,0.0,,,0.9104477611940298,0.9104477611940298,,0.08955223880597014,,1.0,
Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,64,1,13,0,50,0.07142857142857142,1.0,0.13333333333333333,0.7936507936507936,0.796875,0.8968253968253967,0.20634920634920634,0.0,1.0,0.23809523809523808
Gemini-3.1-Pro-Preview,BADCamp,Conflict-free,69,0,3,0,66,0.0,,,0.9565217391304348,0.9565217391304348,,0.043478260869565216,,1.0,
Gemini-3.1-Pro-Preview,BADCamp,Estimatable,44,1,1,23,19,0.5,0.041666666666666664,0.07692307692307693,0.95,0.45454545454545453,0.4958333333333333,0.05,0.9583333333333334,0.4523809523809524,-0.019920476822239894
Gemini-3.1-Pro-Preview,BADCamp,Full sentence,65,2,0,5,58,1.0,0.2857142857142857,0.4444444444444445,1.0,0.9230769230769231,0.6428571428571428,0.0,0.7142857142857143,0.9206349206349206,0.5128728387747147
Gemini-3.1-Pro-Preview,BADCamp,Independent,59,3,45,0,11,0.0625,1.0,0.11764705882352941,0.19642857142857142,0.23728813559322035,0.5982142857142857,0.8035714285714286,0.0,1.0,0.11080065755348979
Gemini-3.1-Pro-Preview,BADCamp,Minimal,54,5,1,2,46,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.9787234042553191,0.9444444444444444,0.8465045592705167,0.02127659574468085,0.2857142857142857,0.9583333333333334,0.740697116806178
Gemini-3.1-Pro-Preview,BADCamp,Problem-oriented,54,17,1,6,30,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.967741935483871,0.8703703703703703,0.8534361851332398,0.03225806451612903,0.2608695652173913,0.8333333333333334,0.7414779978653264
Gemini-3.1-Pro-Preview,BADCamp,Unambiguous,47,9,0,24,14,1.0,0.2727272727272727,0.42857142857142855,1.0,0.48936170212765956,0.6363636363636364,0.0,0.7272727272727273,0.3684210526315789,0.3169833889962083
Gemini-3.1-Pro-Preview,BADCamp,Uniform,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,BADCamp,Unique,67,2,0,0,65,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Gemini-3.1-Pro-Preview,BADCamp,Well-formed,69,0,0,0,69,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Atomic,51,0,0,0,51,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Complete,52,0,14,0,38,0.0,,,0.7307692307692307,0.7307692307692307,,0.2692307692307692,,1.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Conceptually sound,52,0,15,0,37,0.0,,,0.7115384615384616,0.7115384615384616,,0.28846153846153844,,1.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Conflict-free,51,0,0,0,51,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Estimatable,44,5,4,0,35,0.5555555555555556,1.0,0.7142857142857143,0.8974358974358975,0.9090909090909091,0.9487179487179487,0.10256410256410256,0.0,1.0,0.7060987881136028
Gemini-3.1-Pro-Preview,PlanningPoker,Full sentence,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Independent,44,0,32,0,12,0.0,,,0.2727272727272727,0.2727272727272727,,0.7272727272727273,,1.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Minimal,46,0,0,8,38,,0.0,,1.0,0.8260869565217391,0.5,0.0,1.0,0.8260869565217391,
Gemini-3.1-Pro-Preview,PlanningPoker,Problem-oriented,49,21,3,2,23,0.875,0.9130434782608695,0.8936170212765957,0.8846153846153846,0.8979591836734694,0.8988294314381271,0.11538461538461539,0.08695652173913043,0.92,0.7963283217283071
Gemini-3.1-Pro-Preview,PlanningPoker,Unambiguous,46,5,1,0,40,0.8333333333333334,1.0,0.9090909090909091,0.975609756097561,0.9782608695652174,0.9878048780487805,0.024390243902439025,0.0,1.0,0.9016696346674323
Gemini-3.1-Pro-Preview,PlanningPoker,Uniform,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Unique,51,2,0,0,49,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Gemini-3.1-Pro-Preview,PlanningPoker,Well-formed,53,0,0,0,53,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,Zooniverse,Atomic,49,3,1,0,45,0.75,1.0,0.8571428571428571,0.9782608695652174,0.9795918367346939,0.9891304347826086,0.021739130434782608,0.0,1.0,0.8565603610802411
Gemini-3.1-Pro-Preview,Zooniverse,Complete,59,0,19,0,40,0.0,,,0.6779661016949152,0.6779661016949152,,0.3220338983050847,,1.0,
Gemini-3.1-Pro-Preview,Zooniverse,Conceptually sound,60,0,1,0,59,0.0,,,0.9833333333333333,0.9833333333333333,,0.016666666666666666,,1.0,
Gemini-3.1-Pro-Preview,Zooniverse,Conflict-free,60,0,0,0,60,,,,1.0,1.0,,0.0,,1.0,
Gemini-3.1-Pro-Preview,Zooniverse,Estimatable,41,8,14,0,19,0.36363636363636365,1.0,0.5333333333333333,0.5757575757575758,0.6585365853658537,0.7878787878787878,0.42424242424242425,0.0,1.0,0.45756572334974244
Gemini-3.1-Pro-Preview,Zooniverse,Full sentence,59,0,0,1,58,,0.0,,1.0,0.9830508474576272,0.5,0.0,1.0,0.9830508474576272,
Gemini-3.1-Pro-Preview,Zooniverse,Independent,53,0,3,0,50,0.0,,,0.9433962264150944,0.9433962264150944,,0.05660377358490566,,1.0,
Gemini-3.1-Pro-Preview,Zooniverse,Minimal,33,0,0,5,28,,0.0,,1.0,0.8484848484848485,0.5,0.0,1.0,0.8484848484848485,
Gemini-3.1-Pro-Preview,Zooniverse,Problem-oriented,37,9,0,28,0,1.0,0.24324324324324326,0.391304347826087,,0.24324324324324326,,,0.7567567567567568,0.0,
Gemini-3.1-Pro-Preview,Zooniverse,Unambiguous,51,11,14,1,25,0.44,0.9166666666666666,0.5945945945945945,0.6410256410256411,0.7058823529411765,0.7788461538461539,0.358974358974359,0.08333333333333333,0.9615384615384616,0.4732176151017664
Gemini-3.1-Pro-Preview,Zooniverse,Uniform,60,0,0,3,57,,0.0,,1.0,0.95,0.5,0.0,1.0,0.95,
Gemini-3.1-Pro-Preview,Zooniverse,Unique,58,0,2,0,56,0.0,,,0.9655172413793104,0.9655172413793104,,0.034482758620689655,,1.0,
Gemini-3.1-Pro-Preview,Zooniverse,Well-formed,60,0,0,0,60,,,,1.0,1.0,,0.0,,1.0,
