case_id,model,prompt_profile,project,story_id,criterion,run,ground_truth,prediction,normalized_csv_record,parsed_artifact
Q21,GPT-5-Mini,zero_shot,Zooniverse,ZO-028,Problem-oriented,5,Violation,Violation,106199,outputs/parsed/zero_shot/GPT-5-Mini/Zooniverse/run_05/problem_oriented.parsed.json
Q22,GPT-5-Mini,one_shot,PlanningPoker,PP-035,Complete,5,No Violation,No Violation,66480,outputs/parsed/one_shot/GPT-5-Mini/PlanningPoker/run_05/complete.parsed.json
Q23,GPT-5-Mini,one_shot,BADCamp,BC-014,Complete,1,No Violation,Violation,59234,outputs/parsed/one_shot/GPT-5-Mini/BADCamp/run_01/complete.parsed.json
Q24,GPT-5-Mini,one_shot,Zooniverse,ZO-060,Uniform,1,Violation,No Violation,67741,outputs/parsed/one_shot/GPT-5-Mini/Zooniverse/run_01/uniform.parsed.json
Q25,GPT-5-Mini,few_shot,PlanningPoker,PP-041,Unique,4,Violation,Violation,30837,outputs/parsed/few_shot/GPT-5-Mini/PlanningPoker/run_04/unique.parsed.json
Q26,GPT-5-Mini,few_shot,BADCamp,BC-062,Conceptually sound,5,No Violation,No Violation,27449,outputs/parsed/few_shot/GPT-5-Mini/BADCamp/run_05/conceptually_sound.parsed.json
Q27,GPT-5-Mini,few_shot,Zooniverse,ZO-050,Unambiguous,3,No Violation,Violation,33741,outputs/parsed/few_shot/GPT-5-Mini/Zooniverse/run_03/unambiguous.parsed.json
Q28,DeepSeek-V4-Pro,zero_shot,PlanningPoker,PP-001,Problem-oriented,3,Violation,No Violation,77269,outputs/parsed/zero_shot/DeepSeek-V4-Pro/PlanningPoker/run_03/problem_oriented.parsed.json
Q29,Gemini-3.1-Pro-Preview,one_shot,BADCamp,BC-037,Estimatable,1,Violation,Violation,47634,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/BADCamp/run_01/estimatable.parsed.json
Q29,Gemini-3.1-Pro-Preview,one_shot,BADCamp,BC-037,Estimatable,3,Violation,Violation,49428,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/BADCamp/run_03/estimatable.parsed.json
Q29,Gemini-3.1-Pro-Preview,one_shot,BADCamp,BC-037,Estimatable,4,Violation,Violation,50325,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/BADCamp/run_04/estimatable.parsed.json
Q29,Gemini-3.1-Pro-Preview,one_shot,BADCamp,BC-037,Estimatable,5,Violation,Violation,51222,outputs/parsed/one_shot/Gemini-3.1-Pro-Preview/BADCamp/run_05/estimatable.parsed.json
Q30,GPT-5-Mini,few_shot,Zooniverse,ZO-053,Independent,5,No Violation,No Violation,35124,outputs/parsed/few_shot/GPT-5-Mini/Zooniverse/run_05/independent.parsed.json
