model,project,criterion,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
DeepSeek-V4-Pro,BADCamp,Uniform,5,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,BADCamp,Unique,5,2.0,0.0,2.8,1.7888543819998317,0.0,0.0,62.2,1.7888543819998317,0.5,0.28867513459481287,5,1.0,0.0,5,0.6333333333333333,0.2173067468400883,5,0.9569230769230769,0.02752083664615126,5,0.9582089552238806,0.026699319134325824,5,0.9784615384615385,0.013760418323075636,5,0.04307692307692308,0.02752083664615126,5,0.0,0.0,5,1.0,0.0,5,0.674810802040382,0.19119939220941878,5
DeepSeek-V4-Pro,BADCamp,Well-formed,5,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,PlanningPoker,Atomic,5,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,PlanningPoker,Complete,5,0.0,0.0,9.0,4.743416490252569,0.0,0.0,43.0,4.743416490252569,0.0,0.0,5,,,0,0.0,0.0,5,0.8269230769230769,0.09121954788947245,5,0.8269230769230769,0.09121954788947245,5,,,0,0.17307692307692307,0.09121954788947248,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,PlanningPoker,Conceptually sound,5,0.0,0.0,5.0,2.1213203435596424,0.0,0.0,47.0,2.1213203435596424,0.0,0.0,5,,,0,0.0,0.0,5,0.9038461538461539,0.04079462199153159,5,0.9038461538461539,0.04079462199153159,5,,,0,0.09615384615384616,0.04079462199153158,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,PlanningPoker,Conflict-free,5,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,PlanningPoker,Estimatable,5,4.4,0.8944271909999159,3.0,1.224744871391589,0.6,0.8944271909999159,36.0,1.224744871391589,0.6027777777777777,0.1387499304860242,5,0.88,0.17888543819998318,5,0.7106893106893107,0.14070247272579067,5,0.9230769230769231,0.03140371465106637,5,0.9181818181818182,0.03803000120609435,5,0.9015384615384615,0.09427393046063712,5,0.07692307692307693,0.03140371465106639,5,0.12000000000000001,0.17888543819998318,5,0.9839181286549707,0.023709465994483727,5,0.6848748489906625,0.16244185119235313,5
DeepSeek-V4-Pro,PlanningPoker,Full sentence,5,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,PlanningPoker,Independent,5,0.0,0.0,26.2,5.167204273105526,0.0,0.0,17.8,5.167204273105526,0.0,0.0,5,,,0,0.0,0.0,5,0.40454545454545454,0.11743646075239832,5,0.40454545454545454,0.11743646075239832,5,,,0,0.5954545454545455,0.1174364607523983,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,PlanningPoker,Minimal,5,0.0,0.0,0.0,0.0,8.0,0.0,38.0,0.0,,,0,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.8260869565217391,0.0,5,0.5,0.0,5,0.0,0.0,5,1.0,0.0,5,0.8260869565217391,0.0,5,,,0
DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,5,17.6,0.8944271909999159,2.0,0.7071067811865476,5.4,0.8944271909999159,24.0,0.7071067811865476,0.8996638655462185,0.029713933987803875,5,0.7652173913043478,0.038888138739126804,5,0.8259619450317125,0.016688784421865072,5,0.9230769230769231,0.02719641466102108,5,0.8489795918367347,0.011178011377656403,5,0.8441471571906355,0.012038391735736476,5,0.07692307692307693,0.02719641466102106,5,0.23478260869565218,0.03888813873912679,5,0.8170874384236453,0.020210392418741577,5,0.7023135040444526,0.02031739746466254,5
DeepSeek-V4-Pro,PlanningPoker,Unambiguous,5,5.0,0.0,4.2,1.6431676725154984,0.0,0.0,36.8,1.6431676725154984,0.5555555555555556,0.08505172717997145,5,1.0,0.0,5,0.7110536522301228,0.07394997536294474,5,0.8975609756097561,0.040077260305256095,5,0.908695652173913,0.035721036359032586,5,0.948780487804878,0.020038630152628047,5,0.10243902439024391,0.04007726030525607,5,0.0,0.0,5,1.0,0.0,5,0.70522775373261,0.07078867242886229,5
DeepSeek-V4-Pro,PlanningPoker,Uniform,5,0.0,0.0,0.2,0.4472135954999579,0.0,0.0,52.8,0.4472135954999579,0.0,0.0,1,,,0,0.0,0.0,1,0.9962264150943396,0.008437992367923733,5,0.9962264150943396,0.008437992367923733,5,,,0,0.0037735849056603774,0.008437992367923735,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,PlanningPoker,Unique,5,2.0,0.0,2.0,0.0,0.0,0.0,47.0,0.0,0.5,0.0,5,1.0,0.0,5,0.6666666666666666,0.0,5,0.9591836734693877,0.0,5,0.9607843137254902,0.0,5,0.9795918367346939,0.0,5,0.04081632653061224,0.0,5,0.0,0.0,5,1.0,0.0,5,0.6925256939166184,0.0,5
DeepSeek-V4-Pro,PlanningPoker,Well-formed,5,0.0,0.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,5,,,0,0.0,0.0,5,0.9811320754716981,0.0,5,0.9811320754716981,0.0,5,,,0,0.018867924528301886,0.0,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,Zooniverse,Atomic,5,3.0,0.0,1.2,1.6431676725154984,0.0,0.0,44.8,1.6431676725154984,0.8,0.27386127875258304,5,1.0,0.0,5,0.8666666666666667,0.18257418583505539,5,0.9739130434782609,0.03572103635903255,5,0.9755102040816327,0.03353403413296933,5,0.9869565217391305,0.017860518179516244,5,0.02608695652173913,0.03572103635903257,5,0.0,0.0,5,1.0,0.0,5,0.8734640903220241,0.17326643016265908,5
DeepSeek-V4-Pro,Zooniverse,Complete,5,0.0,0.0,32.6,17.966635745180564,0.0,0.0,26.4,17.966635745180564,0.0,0.0,5,,,0,0.0,0.0,5,0.44745762711864406,0.30451924991831464,5,0.44745762711864406,0.30451924991831464,5,,,0,0.5525423728813559,0.30451924991831464,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,Zooniverse,Conceptually sound,5,0.0,0.0,35.0,27.97320146139873,0.0,0.0,25.0,27.97320146139873,0.0,0.0,5,,,0,0.0,0.0,5,0.4166666666666667,0.4662200243566455,5,0.4166666666666667,0.4662200243566455,5,,,0,0.5833333333333334,0.4662200243566455,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,Zooniverse,Conflict-free,5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,Zooniverse,Estimatable,5,8.0,0.0,10.6,1.6733200530681511,0.0,0.0,22.4,1.6733200530681511,0.4330994152046784,0.041655328302378475,5,1.0,0.0,5,0.6035002035002035,0.03970955948504909,5,0.6787878787878788,0.05070666827479246,5,0.7414634146341463,0.040812684221174456,5,0.8393939393939394,0.02535333413739626,5,0.3212121212121212,0.050706668274792456,5,0.0,0.0,5,1.0,0.0,5,0.5421770191799044,0.04627432169959558,5
DeepSeek-V4-Pro,Zooniverse,Full sentence,5,0.0,0.0,0.0,0.0,1.0,0.0,58.0,0.0,,,0,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9830508474576272,0.0,5,0.5,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9830508474576272,0.0,5,,,0
DeepSeek-V4-Pro,Zooniverse,Independent,5,0.0,0.0,4.6,2.792848008753788,0.0,0.0,48.4,2.792848008753788,0.0,0.0,5,,,0,0.0,0.0,5,0.9132075471698113,0.05269524544818467,5,0.9132075471698113,0.05269524544818467,5,,,0,0.08679245283018867,0.052695245448184685,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,Zooniverse,Minimal,5,0.0,0.0,0.0,0.0,5.0,0.0,28.0,0.0,,,0,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.8484848484848485,0.0,5,0.5,0.0,5,0.0,0.0,5,1.0,0.0,5,0.8484848484848485,0.0,5,,,0
DeepSeek-V4-Pro,Zooniverse,Problem-oriented,5,16.6,5.683308895353129,0.0,0.0,20.4,5.683308895353129,0.0,0.0,1.0,0.0,5,0.4486486486486487,0.15360294311765213,5,0.6069768740695535,0.14675900243964435,5,,,0,0.4486486486486487,0.15360294311765213,5,,,0,,,0,0.5513513513513514,0.15360294311765213,5,0.0,0.0,5,,,0
DeepSeek-V4-Pro,Zooniverse,Unambiguous,5,12.0,0.0,17.8,1.7888543819998317,0.0,0.0,21.2,1.7888543819998317,0.4039055740946731,0.025439980878049398,5,1.0,0.0,5,0.575033814738863,0.025451857576916075,5,0.5435897435897435,0.0458680610769188,5,0.6509803921568628,0.03507557611764378,5,0.7717948717948718,0.0229340305384594,5,0.4564102564102564,0.04586806107691875,5,0.0,0.0,5,1.0,0.0,5,0.46855030438666434,0.03450573945928961,5
DeepSeek-V4-Pro,Zooniverse,Uniform,5,1.2,1.6431676725154984,0.0,0.0,1.8,1.6431676725154984,57.0,0.0,1.0,0.0,2,0.4,0.5477225575051661,5,0.4,0.5477225575051661,5,1.0,0.0,5,0.97,0.02738612787525833,5,0.7,0.27386127875258304,5,0.0,0.0,5,0.6,0.5477225575051661,5,0.97,0.02738612787525833,5,1.0,0.0,2
DeepSeek-V4-Pro,Zooniverse,Unique,5,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,Zooniverse,Well-formed,5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,BADCamp,Atomic,5,2.0,0.0,4.8,0.4472135954999579,0.0,0.0,55.2,0.4472135954999579,0.29523809523809524,0.021295885499997995,5,1.0,0.0,5,0.45555555555555555,0.024845199749997673,5,0.9199999999999999,0.007453559924999322,5,0.9225806451612902,0.007213122508063831,5,0.96,0.003726779962499686,5,0.08,0.007453559924999297,5,0.0,0.0,5,1.0,0.0,5,0.5209677227798706,0.020574971676397717,5
GPT-4.1,BADCamp,Complete,5,0.0,0.0,3.6,2.073644135332772,0.0,0.0,63.4,2.073644135332772,0.0,0.0,5,,,0,0.0,0.0,5,0.9462686567164179,0.03094991246765331,5,0.9462686567164179,0.03094991246765331,5,,,0,0.05373134328358209,0.03094991246765331,5,,,0,1.0,0.0,5,,,0
GPT-4.1,BADCamp,Conceptually sound,5,1.0,0.0,11.4,0.8944271909999159,0.0,0.0,51.6,0.8944271909999159,0.08100233100233101,0.006194723667094782,5,1.0,0.0,5,0.1498168498168498,0.010553011202115704,5,0.819047619047619,0.014197256999998657,5,0.821875,0.013975424859373685,5,0.9095238095238095,0.007098628499999351,5,0.18095238095238095,0.014197256999998664,5,0.0,0.0,5,1.0,0.0,5,0.2574877768262836,0.01199537411486095,5
GPT-4.1,BADCamp,Conflict-free,5,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,BADCamp,Estimatable,5,9.2,1.0954451150103321,1.6,0.5477225575051661,14.8,1.0954451150103321,18.4,0.5477225575051661,0.8555555555555555,0.03042903097250918,5,0.38333333333333336,0.04564354645876386,5,0.5272727272727273,0.038727857601375384,5,0.92,0.02738612787525827,5,0.6272727272727273,0.012448239943299218,5,0.6516666666666666,0.009128709291752798,5,0.08,0.027386127875258306,5,0.6166666666666667,0.045643546458763805,5,0.5546428571428571,0.010758835950994357,5,0.35232816182811,0.0023496402318711777,5
GPT-4.1,BADCamp,Full sentence,5,7.0,0.0,8.2,0.8366600265340756,0.0,0.0,49.8,0.8366600265340756,0.46166666666666667,0.025920551691659653,5,1.0,0.0,5,0.6313570487483531,0.024103831365803585,5,0.8586206896551724,0.01442517287127714,5,0.8738461538461538,0.012871692715908848,5,0.9293103448275862,0.00721258643563859,5,0.1413793103448276,0.014425172871277165,5,0.0,0.0,5,1.0,0.0,5,0.6295040452358881,0.022914496789795583,5
GPT-4.1,BADCamp,Independent,5,3.0,0.0,4.2,3.5637059362410923,0.0,0.0,51.8,3.5637059362410923,0.5395454545454546,0.32092003586795204,5,1.0,0.0,5,0.6585414585414585,0.2552065322858784,5,0.9249999999999999,0.06363760600430522,5,0.9288135593220339,0.06040179552951004,5,0.9625,0.03181880300215261,5,0.075,0.06363760600430522,5,0.0,0.0,5,1.0,0.0,5,0.6876989622951374,0.22898794731229305,5
GPT-4.1,BADCamp,Minimal,5,4.4,1.3416407864998738,0.2,0.4472135954999579,2.6,1.3416407864998738,46.8,0.4472135954999579,0.9666666666666667,0.07453559924999298,5,0.6285714285714286,0.191662969499982,5,0.7427350427350428,0.16904397011509786,5,0.9957446808510638,0.009515182882977842,5,0.9481481481481481,0.024145194093343106,5,0.8121580547112462,0.09475412719178003,5,0.00425531914893617,0.009515182882977829,5,0.37142857142857144,0.191662969499982,5,0.9479461015175301,0.02465536979814382,5,0.7464103223584493,0.13840675243313943,5
GPT-4.1,BADCamp,Problem-oriented,5,11.2,2.280350850198276,0.0,0.0,11.8,2.280350850198276,31.0,0.0,1.0,0.0,5,0.48695652173913045,0.09914568913905547,5,0.6504303874659912,0.08522940190777291,5,1.0,0.0,5,0.7814814814814814,0.04222871944811623,5,0.7434782608695651,0.04957284456952775,5,0.0,0.0,5,0.5130434782608696,0.09914568913905548,5,0.7260333206844835,0.04071933125038401,5,0.5934079192570374,0.07616531944733775,5
GPT-4.1,BADCamp,Unambiguous,5,6.2,1.7888543819998317,0.0,0.0,26.8,1.7888543819998317,14.0,0.0,1.0,0.0,5,0.18787878787878787,0.054207708545449436,5,0.31360902255639095,0.07445906078319312,5,1.0,0.0,5,0.42978723404255315,0.03806073153191132,5,0.593939393939394,0.0271038542727247,5,0.0,0.0,5,0.8121212121212121,0.05420770854544946,5,0.34368421052631576,0.01559825735466332,5,0.25273157638319665,0.0414421167154242,5
GPT-4.1,BADCamp,Uniform,5,0.0,0.0,9.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5,,,0,0.0,0.0,5,0.8695652173913043,0.0,5,0.8695652173913043,0.0,5,,,0,0.13043478260869565,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,BADCamp,Unique,5,1.8,0.4472135954999579,0.8,1.0954451150103321,0.2,0.4472135954999579,64.2,1.0954451150103321,0.7666666666666666,0.32489314482696546,5,0.9,0.22360679774997896,5,0.8133333333333334,0.27243755655603397,5,0.9876923076923076,0.01685300176938973,5,0.9850746268656716,0.021107665110046196,5,0.9438461538461539,0.11715311379133682,5,0.012307692307692308,0.01685300176938973,5,0.1,0.22360679774997896,5,0.996875,0.006987712429686843,5,0.8164500210078067,0.27419916403873756,5
GPT-4.1,BADCamp,Well-formed,5,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,PlanningPoker,Atomic,5,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,PlanningPoker,Complete,5,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,PlanningPoker,Conceptually sound,5,0.0,0.0,0.2,0.4472135954999579,0.0,0.0,51.8,0.4472135954999579,0.0,0.0,1,,,0,0.0,0.0,1,0.9961538461538462,0.008600261451922287,5,0.9961538461538462,0.008600261451922287,5,,,0,0.0038461538461538464,0.008600261451922268,5,,,0,1.0,0.0,5,,,0
GPT-4.1,PlanningPoker,Conflict-free,5,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,PlanningPoker,Estimatable,5,4.4,1.3416407864998738,2.0,1.5811388300841898,0.6,1.3416407864998738,37.0,1.5811388300841898,0.7456349206349207,0.17610957316009082,5,0.88,0.2683281572999748,5,0.7594738594738595,0.12780715895881353,5,0.9487179487179487,0.04054202128420997,5,0.9409090909090909,0.02591307784316226,5,0.9143589743589744,0.12068454758708132,5,0.05128205128205128,0.04054202128420999,5,0.12,0.2683281572999748,5,0.9857142857142858,0.03194382824999698,5,0.7598785226504176,0.1112112748575103,5
GPT-4.1,PlanningPoker,Full sentence,5,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,PlanningPoker,Independent,5,0.0,0.0,20.2,9.121403400793104,0.0,0.0,23.8,9.121403400793104,0.0,0.0,5,,,0,0.0,0.0,5,0.5409090909090909,0.2073046227452978,5,0.5409090909090909,0.2073046227452978,5,,,0,0.4590909090909091,0.20730462274529782,5,,,0,1.0,0.0,5,,,0
GPT-4.1,PlanningPoker,Minimal,5,0.0,0.0,0.0,0.0,8.0,0.0,38.0,0.0,,,0,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.8260869565217391,0.0,5,0.5,0.0,5,0.0,0.0,5,1.0,0.0,5,0.8260869565217391,0.0,5,,,0
GPT-4.1,PlanningPoker,Problem-oriented,5,11.8,2.588435821108957,1.6,0.5477225575051661,11.2,2.588435821108957,24.4,0.5477225575051661,0.8833333333333333,0.015590239111558093,5,0.5130434782608696,0.11254068787430248,5,0.6422034106244633,0.08938678139877554,5,0.9384615384615385,0.021066252211737146,5,0.7387755102040816,0.04182428884065141,5,0.7257525083612041,0.04589912624979384,5,0.06153846153846154,0.02106625221173716,5,0.48695652173913045,0.11254068787430249,5,0.6884958179075826,0.04420527227239221,5,0.5068866250242203,0.06565140981477331,5
GPT-4.1,PlanningPoker,Unambiguous,5,4.0,0.0,1.0,0.0,1.0,0.0,40.0,0.0,0.8,0.0,5,0.8,0.0,5,0.8,0.0,5,0.975609756097561,0.0,5,0.9565217391304348,0.0,5,0.8878048780487805,0.0,5,0.024390243902439025,0.0,5,0.2,0.0,5,0.975609756097561,0.0,5,0.775609756097561,0.0,5
GPT-4.1,PlanningPoker,Uniform,5,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,PlanningPoker,Unique,5,0.6,0.8944271909999159,0.0,0.0,1.4,0.8944271909999159,49.0,0.0,1.0,0.0,2,0.3,0.4472135954999579,5,0.3333333333333333,0.4714045207910317,5,1.0,0.0,5,0.9725490196078431,0.017537788058821863,5,0.65,0.22360679774997896,5,0.0,0.0,5,0.7,0.4472135954999579,5,0.9724705882352941,0.017494767713438598,5,0.85,0.21213203435596428,2
GPT-4.1,PlanningPoker,Well-formed,5,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,Zooniverse,Atomic,5,3.0,0.0,9.4,0.5477225575051661,0.0,0.0,36.6,0.5477225575051661,0.2423076923076923,0.010533126105868573,5,1.0,0.0,5,0.39,0.013693063937629165,5,0.7956521739130435,0.011907012119677516,5,0.8081632653061225,0.011178011377656463,5,0.8978260869565218,0.005953506059838788,5,0.20434782608695654,0.011907012119677516,5,0.0,0.0,5,1.0,0.0,5,0.4390455011618232,0.012846424511914848,5
GPT-4.1,Zooniverse,Complete,5,0.0,0.0,0.6,0.8944271909999159,0.0,0.0,58.4,0.8944271909999159,0.0,0.0,2,,,0,0.0,0.0,2,0.9898305084745763,0.015159782898303662,5,0.9898305084745763,0.015159782898303662,5,,,0,0.010169491525423728,0.015159782898303659,5,,,0,1.0,0.0,5,,,0
GPT-4.1,Zooniverse,Conceptually sound,5,0.0,0.0,54.8,1.0954451150103321,0.0,0.0,5.2,1.0954451150103321,0.0,0.0,5,,,0,0.0,0.0,5,0.08666666666666667,0.01825741858350554,5,0.08666666666666667,0.01825741858350554,5,,,0,0.9133333333333333,0.018257418583505533,5,,,0,1.0,0.0,5,,,0
GPT-4.1,Zooniverse,Conflict-free,5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
