model,provider,project,run,story_id,criterion,decision,evidence,rationale,related_story_ids,confidence,ground_truth,error_type
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-004,Unambiguous,No Violation,,The core request is a map showing building and room locations; the subjective word 'clear' does not create materially different requirement interpretations.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-007,Unambiguous,No Violation,,"The registration statuses attended, refunded, and no show are named, making the view understandable.",[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-008,Unambiguous,No Violation,,Being added to a training waitlist is clear enough despite minor grammar issues.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-016,Unambiguous,No Violation,,"The story lists specific training information to be marked, so the requirement is clear.",[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-019,Unambiguous,No Violation,,Finding the coding lounge location and opening time is clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-021,Unambiguous,No Violation,,Finding a link to become a $350 sponsor is specific and clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-022,Unambiguous,No Violation,,The phrase 'this company' is context-dependent but understandable in the sponsor context.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-027,Unambiguous,No Violation,,A payment page as the third registration step for individual sponsorships is clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-029,Unambiguous,No Violation,,"Seeing all events, trainings, and summits a sponsor sponsors is specific.",[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-048,Unambiguous,No Violation,,Learning about sponsorship levels is clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-051,Unambiguous,No Violation,,Learning about posting jobs as a sponsor and contacting the sponsorship person is understandable.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-053,Unambiguous,No Violation,,Viewing the job board is clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-054,Unambiguous,Violation,assign a room to a time slot and a location,"The relationship between room, time slot, and location is unclear, making the scheduling action ambiguous.",[],High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-055,Unambiguous,No Violation,,Seeing the schedule is clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-056,Unambiguous,No Violation,,Seeing the final list of approved sessions is clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-059,Unambiguous,No Violation,,Receiving a notification when sessions are evaluated is understandable as notification about the user's session decision.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-060,Unambiguous,No Violation,,Receiving a notification after session submission is clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-062,Unambiguous,No Violation,,Registering to speak is clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-065,Unambiguous,No Violation,,Seeing a list of summits including their times is clear.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-066,Unambiguous,No Violation,,"Offering several individual sponsorship choices on the second registration page is understandable, though not fully enumerated.",[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-067,Unambiguous,No Violation,,Finding a menu link to the registration form is clear despite the subjective word 'easily'.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-016,Unique,Violation,training options clearly marked ... all with one page,BC-016 and BC-017 both require an anonymous user to view a single-page list of all training offerings; the extra intro/call for trainings in BC-017 does not create a materially different requirement.,"[""BC-017""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-017,Unique,Violation,training landing page ... list of all training offerings ... shop for training all with one page,BC-017 substantially duplicates BC-016's requirement for a single-page list of all training offerings.,"[""BC-016""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-027,Unique,Violation,See a payment page to pay for my individual sponsorships,"BC-027 and BC-030 both require an authenticated user to pay for an individual sponsorship; BC-030 describes entering payment information and card charging, which is the same transaction.","[""BC-030""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,1,BC-030,Unique,Violation,Enter payment information and have my card charged for an individual sponsorship,BC-030 duplicates BC-027's individual sponsorship payment requirement with the same actor and goal.,"[""BC-027""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-017,Atomic,No Violation,training landing page,"Single landing page feature; intro, offerings list, and call promotion are page sections.",[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-005,Complete,Violation,edit my training node myself,"This updates an existing training node, but no story creates training nodes/offerings, so the required creation capability is missing.","[""BC-015"", ""BC-016"", ""BC-017""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-006,Complete,Violation,limit to one registration per day per authenticated user,"This imposes a rule on training registration creation, but no story enables a trainee to register for a training session.","[""BC-012"", ""BC-015"", ""BC-016""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-007,Complete,Violation,track registration status for each attendee,"Tracking training registration status implies that training registrations can be created, but no such creation story exists.","[""BC-012"", ""BC-013"", ""BC-014""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-008,Complete,Violation,added to a training waitlist,"Waitlist behavior depends on training registration and training offerings, but the backlog lacks primary training registration creation.","[""BC-012"", ""BC-015"", ""BC-016""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-009,Complete,Violation,must accept the cancellation terms with a checkbox,"Accepting cancellation terms assumes a training registration/cancellation flow, but the required registration creation is missing.","[""BC-010"", ""BC-012""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-010,Complete,Violation,whatever registration / cancellation workflow exists,"The story explicitly relies on a cancellation workflow, but no story defines the user-facing cancellation workflow.","[""BC-009"", ""BC-012""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-012,Complete,Violation,see which trainings I have signed up for,"This reads training registrations, but the backlog contains no story that creates a training registration.","[""BC-006"", ""BC-015"", ""BC-016""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-013,Complete,Violation,view that is attached to their training node that shows all attendee information,"This assumes training nodes and attendee registrations exist, but neither training node creation nor training registration creation is present.","[""BC-005"", ""BC-012""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-014,Complete,Violation,admin view where all trainee information is shown and can be filtered to show a single training session,"This admin view depends on training registrations by trainee/session, but no story establishes the creation of those registrations.","[""BC-012"", ""BC-013"", ""BC-007""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-015,Complete,Violation,"registrations remaining, link to register for class","The class page exposes registration status and a registration link, but no story creates the class/training or the training registration capability.","[""BC-005"", ""BC-012""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-016,Complete,Violation,register now link,"The training list includes a call to register, but no training registration creation story exists.","[""BC-012"", ""BC-015""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-017,Complete,Violation,a list of all training offerings,"Listing all training offerings requires training offerings to be created, but the backlog lacks a story for creating a training offering.","[""BC-005""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-027,Conceptually sound,Violation,so that pay for my sponsorship.,The end repeats the payment action rather than providing a rationale for the payment page feature.,[],Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-030,Conceptually sound,Violation,so that I can pay for an individual sponsorship.,The end restates the payment feature instead of explaining why entering payment information and charging the card is valuable.,[],Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-046,Conceptually sound,Violation,"register for the event, and get day-of knowledge to help me get to the location.","The end introduces additional required features/dependencies (registering for the event, day-of directions) instead of only explaining why viewing summit details is valuable.",[],High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-051,Conceptually sound,Violation,so that I have the opportunty to post my job listing on the BADCamp site.,The end introduces posting a job as another required feature instead of only explaining why learning/contact is valuable.,[],Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-062,Conceptually sound,Violation,so that I submit a session.,"The end states session submission, which functions as another required feature/dependency rather than a rationale for registering to speak.",[],High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-059,Conflict-free,Violation,"As a anonymoususer, I want to receive a notification when sessions have been evaluated","Implies anonymous users can have sessions evaluated, which conflicts with BC-063's authenticated-user session submission.","[""BC-063""]",Moderate,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-060,Conflict-free,Violation,"As a anonymoususer, I want to receive a notification when I submit a session","States anonymous users can submit sessions, conflicting with BC-063's authenticated-user submission.","[""BC-063""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-062,Conflict-free,Violation,"As a anonymoususer, I want to register to speak at BADCamp, so that I submit a session","States anonymous users can register/submit sessions, conflicting with BC-063's authenticated-user submission.","[""BC-063""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-063,Conflict-free,Violation,"As a authenticateduser, I want to submit a session at BADCAMP","Conflicts with BC-060 and BC-062, which imply anonymous users can submit sessions, and with BC-059, which implies anonymous users can have sessions evaluated.","[""BC-059"", ""BC-060"", ""BC-062""]",High,No Violation,FP
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-003,Estimatable,No Violation,email all the trainers at once,Specific behavior with a clear recipient group and action.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-004,Estimatable,No Violation,map where the buildings and rooms are,Describes a bounded map feature; does not require detailed design for a high-level estimate.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-005,Estimatable,No Violation,edit my training node myself,"Clear trainer editing scope, even if slide links are also mentioned.",[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-007,Estimatable,No Violation,admin view that helps track registration status,Clear admin view with defined statuses.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-008,Estimatable,No Violation,added to a training waitlist,Specific waitlist behavior.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-013,Estimatable,No Violation,view that is attached to their training node that shows all attendee information,"Despite broad wording, it describes a bounded roster view for a training.",[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-014,Estimatable,No Violation,admin view where all trainee information is shown and can be filtered,Clear admin view with filter behavior.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-015,Estimatable,No Violation,dedicated page for each class... SEO friendly,Detailed page requirements support reasonable estimation.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-016,Estimatable,No Violation,training options clearly marked for the following information,Explicit list of required fields makes scope estimable.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-017,Estimatable,No Violation,training landing page with an intro section and a list of all training offerings,Clear page composition with identifiable sections.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-019,Estimatable,No Violation,find out where the coding lounge is and what time it is open,Specific location and hours information.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-021,Estimatable,No Violation,link on the sponsorships page to become a $350 level sponsor,Clear link and sponsorship level scope.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-027,Estimatable,No Violation,payment page... third step of the registration process,Specific payment page and process step.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-042,Estimatable,No Violation,list basic information about my summit,Standard content-listing requirement; scope is understandable.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-046,Estimatable,No Violation,see specific details on summits,Summit detail-page requirement with estimable scope.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-051,Estimatable,No Violation,learn about posting jobs as a sponsor and contact the sponsorship person,Clear informational and contact feature.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-059,Estimatable,No Violation,receive a notification when sessions have been evaluated,Clear notification trigger.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-060,Estimatable,No Violation,receive a notification when I submit a session,Clear notification trigger.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-062,Estimatable,No Violation,register to speak at BADCamp,Clear speaker registration/submission behavior.,[],Moderate,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-065,Estimatable,No Violation,see a list of all the summits that include when they are,Clear list with date information.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-066,Estimatable,No Violation,offered several choices of idividual sponsorship,Clear selection step in registration.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-067,Estimatable,No Violation,find a link in the menu that links to the registration form,Clear menu link requirement.,[],High,Violation,FN
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-069,Estimatable,Violation,find session information,"Very broad and underspecified; could mean search, browse, schedule view, or session details.",[],High,No Violation,FP
