model,provider,project,run,story_id,criterion,decision,evidence,rationale,related_story_ids,confidence,ground_truth
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-028,Atomic,No Violation,"assign sponsors to events, trainings and summits",Single sponsor assignment feature; content types are enumerated targets.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-030,Atomic,No Violation,Enter payment information and have my card charged,Single payment processing feature.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-046,Atomic,No Violation,see specific details on summits,"Single summit detail view; learning, registration, and directions are benefits of details.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-020,Complete,No Violation,,Refunding sponsorship payments complements existing sponsorship payment stories.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-059,Complete,Violation,whether I've been accepted or rejected,"The backlog includes acceptance/approval stories but no story for rejecting or otherwise evaluating sessions as rejected, so the evaluation outcome feature is incomplete.","[""BC-057"", ""BC-058""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-003,Conceptually sound,No Violation,so that It is easier to use.,"The means states a feature (emailing all trainers) and the end provides a rationale, though vague.",[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-007,Conceptually sound,No Violation,"so that we can see if attendend, refunded, no show.",The means states an admin tracking view feature and the end explains its value.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-015,Conceptually sound,No Violation,"so that I can choose the right class, AND the trainer can tweet and promote their class.",The means states a dedicated class page feature and the end provides rationales rather than introducing a separate required feature.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-017,Conceptually sound,Violation,and we can have a call for trainings for selection.,The end introduces 'a call for trainings for selection' as another required feature/goal instead of only explaining why the landing page is valuable.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-059,Conceptually sound,No Violation,so that I know whether I've been accepted or rejected.,The means states a notification feature and the end gives a rationale.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-006,Estimatable,No Violation,limit to one registration per day per authenticated user,Specific registration rule with clear scope.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-009,Estimatable,No Violation,accept the cancellation terms with a checkbox,Specific UI and accountability rule.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-012,Estimatable,No Violation,see which trainings I have signed up for,Clear list of the user's own registrations.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-018,Estimatable,No Violation,link on the home page to a list of training options,"Simple, bounded navigation requirement.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-023,Estimatable,No Violation,identify myself as and pay for a $350 company sponsorship,Clear payment and role assignment behavior.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-024,Estimatable,No Violation,create and maintain venues,Standard bounded CRUD requirement for venues.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-025,Estimatable,No Violation,view venue details,Clear detail-view requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-028,Estimatable,No Violation,"assign sponsors to events, trainings and summits",Clear assignment behavior across named entity types.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-030,Estimatable,No Violation,Enter payment information and have my card charged,Specific payment collection behavior.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-033,Estimatable,No Violation,sign up for the BADCamp newsletter,Specific newsletter signup behavior.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-037,Estimatable,Violation,sponsor a summit that matches my brand,Broad sponsorship workflow with subjective matching; not concrete enough to estimate.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-039,Estimatable,No Violation,get detailed directions to the summit venue,Specific directions requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-041,Estimatable,No Violation,see a list of attendees signed up for my summit,Clear attendee list for a specific summit.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-043,Estimatable,No Violation,list sponsors for my summit,Clear bounded list requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-044,Estimatable,No Violation,list an agenda for my summit,Clear agenda-list feature.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-045,Estimatable,No Violation,see how many seats are left for the summit,Specific count display requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-049,Estimatable,Violation,use a WYSIWYG editor for all long-form content,Broad cross-cutting scope across all long-form content is too coarse for a reasonable estimate.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-050,Estimatable,No Violation,Link to my sponsorship profile from my job listings,Clear link placement requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-052,Estimatable,No Violation,post a job,Clear bounded job posting behavior.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-057,Estimatable,No Violation,bulk approve sessions as accepted,Specific bulk action.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-058,Estimatable,No Violation,mark a session as accepted,Specific status-change action.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-061,Estimatable,No Violation,edit my session,Clear editing scope.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-063,Estimatable,No Violation,submit a session at BADCAMP,Clear session submission scope.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-064,Estimatable,Violation,personalize my sponsorship page,"Personalization is underspecified and open-ended, making reasonable estimation difficult.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-068,Estimatable,No Violation,fill out a user registration form,Clear form-based registration requirement.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-013,Full sentence,Violation,shows all attendee information Trainers can see all class attendance at first because there are so little trainers and they are trusted with privacy,The text contains fused clauses without punctuation and reads as a malformed run-on rather than a well-formed sentence.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-016,Full sentence,No Violation,"As a anonymoususer, I want to have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link, so that I can shop for training all with one page AND find their class on on one page.",Reads as a complete sentence despite the list inserted before the purpose clause.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-059,Full sentence,No Violation,"As a anonymoususer, I want to receive a notification when sessions have been evaluated, so that I know whether I've been accepted or rejected.","Reads as a complete sentence with a clear subject, want clause, and purpose clause.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-066,Full sentence,No Violation,"As a authenticateduser, I want to Be offered several choices of idividual sponsorship on the second page of registration, so that I can be awesome and financially support the camp.",Reads as a complete sentence; capitalization and typo do not break completeness.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-008,Independent,No Violation,,Waitlist addition is self-contained within training registration; no concrete prerequisite story cited.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-010,Independent,Violation,whatever registration / cancellation workflow exists,"The story explicitly ties its deadline to an existing registration/cancellation workflow, so it depends on that workflow being implemented first.","[""BC-009""]",Low,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-012,Independent,No Violation,,This is a view of the user's own signed-up trainings; no prerequisite story is identified as a concrete dependency.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-030,Independent,No Violation,,Payment entry/charging is a self-contained payment feature.,[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-040,Independent,Violation,see what summits I'm signed up for,Depends on summit registration (BC-038) being implemented first.,"[""BC-038""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-041,Independent,Violation,list of attendees signed up for my summit,Depends on summit registration (BC-038) generating attendee data.,"[""BC-038""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-054,Independent,Violation,assign a room to a time slot and a location,Rooms/locations must be created/maintained via venues (BC-024).,"[""BC-024""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-058,Independent,Violation,mark a session as accepted,Requires a submitted session (BC-063) to accept.,"[""BC-063""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-059,Independent,Violation,when sessions have been evaluated,Evaluation/acceptance decisions are made via session approval stories (BC-058/BC-057).,"[""BC-058"", ""BC-057""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-060,Independent,Violation,when I submit a session,Requires the session submission capability (BC-063).,"[""BC-063""]",High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-004,Minimal,No Violation,,"Contains only role, means, and rationale.",[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-005,Minimal,Violation,and links to slides,"Adds an extra feature beyond the role, means, and rationale.",[],Moderate,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-009,Minimal,Violation,with a checkbox,UI implementation detail is extra to the core story.,[],High,Uncertain
DeepSeek-V4-Pro,deepseek,BADCamp,2,BC-010,Minimal,No Violation,,"Contains only role, means, and rationale; duplicated connector is not extra content information.",[],Moderate,Uncertain
