model,project,criterion,runs,mean_pairwise_jaccard,min_pairwise_jaccard,unanimous_unit_rate,flip_unit_rate,fleiss_kappa_across_runs
DeepSeek-V4-Pro,Zooniverse,Independent,5,0.4821428571428571,0.25,0.8867924528301887,0.1132075471698113,0.571505569529285
DeepSeek-V4-Pro,Zooniverse,Minimal,5,1.0,1.0,1.0,0.0,
DeepSeek-V4-Pro,Zooniverse,Problem-oriented,5,0.5531250099242426,0.4074074074074074,0.4864864864864865,0.5135135135135135,0.4536971415072052
DeepSeek-V4-Pro,Zooniverse,Unambiguous,5,0.8237962985780822,0.7575757575757576,0.7647058823529411,0.23529411764705888,0.7658921109282008
DeepSeek-V4-Pro,Zooniverse,Uniform,5,0.4,0.0,0.95,0.050000000000000044,0.23469387755102497
DeepSeek-V4-Pro,Zooniverse,Unique,5,1.0,1.0,1.0,0.0,
DeepSeek-V4-Pro,Zooniverse,Well-formed,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,BADCamp,Atomic,5,0.8666666666666666,0.6666666666666666,0.9838709677419355,0.016129032258064502,0.9057464274855577
Gemini-3.1-Pro-Preview,BADCamp,Complete,5,0.8285714285714285,0.5714285714285714,0.9552238805970149,0.04477611940298509,0.8867478025693032
Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,5,0.925,0.8125,0.953125,0.046875,0.945698286102155
Gemini-3.1-Pro-Preview,BADCamp,Conflict-free,5,0.8400000000000001,0.6,0.9710144927536232,0.02898550724637683,0.8762553802008608
Gemini-3.1-Pro-Preview,BADCamp,Estimatable,5,0.6333333333333333,0.3333333333333333,0.9545454545454546,0.045454545454545414,0.7607655502392349
Gemini-3.1-Pro-Preview,BADCamp,Full sentence,5,0.27999999999999997,0.0,0.9230769230769231,0.07692307692307687,0.31434599156118104
Gemini-3.1-Pro-Preview,BADCamp,Independent,5,0.963265306122449,0.9387755102040817,0.9491525423728814,0.05084745762711862,0.9021450685537374
Gemini-3.1-Pro-Preview,BADCamp,Minimal,5,0.9428571428571428,0.8571428571428571,0.9814814814814815,0.01851851851851849,0.9635578350654609
Gemini-3.1-Pro-Preview,BADCamp,Problem-oriented,5,0.8818713450292398,0.7368421052631579,0.9074074074074074,0.09259259259259256,0.9072802197802198
Gemini-3.1-Pro-Preview,BADCamp,Unambiguous,5,0.7272727272727273,0.5454545454545454,0.8936170212765957,0.1063829787234043,0.7865188953488373
Gemini-3.1-Pro-Preview,BADCamp,Uniform,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,BADCamp,Unique,5,1.0,1.0,1.0,0.0,1.0
Gemini-3.1-Pro-Preview,BADCamp,Well-formed,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Atomic,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Complete,5,0.8183333333333334,0.7333333333333333,0.8846153846153846,0.11538461538461542,0.8606004901960786
Gemini-3.1-Pro-Preview,PlanningPoker,Conceptually sound,5,0.27014492753623187,0.0,0.5576923076923077,0.4423076923076923,0.3172268907563025
Gemini-3.1-Pro-Preview,PlanningPoker,Conflict-free,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Estimatable,5,0.9555555555555555,0.8888888888888888,0.9772727272727273,0.022727272727272707,0.9715909090909093
Gemini-3.1-Pro-Preview,PlanningPoker,Full sentence,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Independent,5,0.98125,0.96875,0.9772727272727273,0.022727272727272707,0.9663127807268272
Gemini-3.1-Pro-Preview,PlanningPoker,Minimal,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Problem-oriented,5,0.9121153846153846,0.84,0.8979591836734694,0.10204081632653061,0.9101666666666665
Gemini-3.1-Pro-Preview,PlanningPoker,Unambiguous,5,1.0,1.0,1.0,0.0,1.0
Gemini-3.1-Pro-Preview,PlanningPoker,Uniform,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,PlanningPoker,Unique,5,0.8,0.5,0.9607843137254902,0.039215686274509776,0.8251028806584371
Gemini-3.1-Pro-Preview,PlanningPoker,Well-formed,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,Zooniverse,Atomic,5,0.75,0.6,0.9591836734693877,0.04081632653061229,0.8366666666666661
Gemini-3.1-Pro-Preview,Zooniverse,Complete,5,0.4235978426458303,0.175,0.3559322033898305,0.6440677966101696,0.2816558441558442
Gemini-3.1-Pro-Preview,Zooniverse,Conceptually sound,5,1.0,1.0,1.0,0.0,1.0
Gemini-3.1-Pro-Preview,Zooniverse,Conflict-free,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,Zooniverse,Estimatable,5,0.8480163958424829,0.6666666666666666,0.7804878048780488,0.2195121951219512,0.8130280337941629
Gemini-3.1-Pro-Preview,Zooniverse,Full sentence,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,Zooniverse,Independent,5,0.8,0.6666666666666666,0.9811320754716981,0.018867924528301883,0.8786630036630035
Gemini-3.1-Pro-Preview,Zooniverse,Minimal,5,1.0,1.0,1.0,0.0,
Gemini-3.1-Pro-Preview,Zooniverse,Problem-oriented,5,0.8153846153846154,0.6923076923076923,0.8918918918918919,0.10810810810810811,0.8413379073756432
Gemini-3.1-Pro-Preview,Zooniverse,Unambiguous,5,1.0,1.0,1.0,0.0,1.0
Gemini-3.1-Pro-Preview,Zooniverse,Uniform,5,0.6,0.0,0.95,0.050000000000000044,-0.010101010101008969
Gemini-3.1-Pro-Preview,Zooniverse,Unique,5,0.26666666666666666,0.0,0.896551724137931,0.10344827586206895,0.3245341614906833
Gemini-3.1-Pro-Preview,Zooniverse,Well-formed,5,1.0,1.0,1.0,0.0,
GPT-4.1,BADCamp,Atomic,5,0.9428571428571428,0.8571428571428571,0.9838709677419355,0.016129032258064502,0.9669650468883204
GPT-4.1,BADCamp,Complete,5,0.28095238095238095,0.0,0.8805970149253731,0.11940298507462688,0.4128987031195244
GPT-4.1,BADCamp,Conceptually sound,5,0.8938644688644688,0.8461538461538461,0.953125,0.046875,0.929982495623906
GPT-4.1,BADCamp,Conflict-free,5,1.0,1.0,1.0,0.0,
GPT-4.1,BADCamp,Estimatable,5,0.85,0.75,0.9318181818181818,0.06818181818181823,0.889558232931727
GPT-4.1,BADCamp,Full sentence,5,0.9249019607843139,0.875,0.9538461538461539,0.0461538461538461,0.9484781230183892
GPT-4.1,BADCamp,Independent,5,0.5075000000000001,0.2727272727272727,0.847457627118644,0.15254237288135597,0.6203346203346204
GPT-4.1,BADCamp,Minimal,5,0.7033333333333334,0.3333333333333333,0.9259259259259259,0.07407407407407407,0.8098926245379331
GPT-4.1,BADCamp,Problem-oriented,5,0.8087878787878788,0.6,0.8888888888888888,0.11111111111111116,0.8535547396528704
GPT-4.1,BADCamp,Unambiguous,5,0.7587301587301587,0.5555555555555556,0.9148936170212766,0.08510638297872342,0.8141998734977864
GPT-4.1,BADCamp,Uniform,5,1.0,1.0,1.0,0.0,1.0
GPT-4.1,BADCamp,Unique,5,0.6,0.25,0.9552238805970149,0.04477611940298509,0.6798853320592462
GPT-4.1,BADCamp,Well-formed,5,1.0,1.0,1.0,0.0,
GPT-4.1,PlanningPoker,Atomic,5,1.0,1.0,1.0,0.0,
GPT-4.1,PlanningPoker,Complete,5,1.0,1.0,1.0,0.0,
GPT-4.1,PlanningPoker,Conceptually sound,5,0.6,0.0,0.9807692307692307,0.019230769230769273,-0.0038610038610110216
GPT-4.1,PlanningPoker,Conflict-free,5,1.0,1.0,1.0,0.0,
GPT-4.1,PlanningPoker,Estimatable,5,0.5480158730158731,0.2222222222222222,0.8409090909090909,0.15909090909090906,0.6708776595744679
GPT-4.1,PlanningPoker,Full sentence,5,1.0,1.0,1.0,0.0,
GPT-4.1,PlanningPoker,Independent,5,0.6308528428093646,0.15384615384615385,0.5,0.5,0.5881520925201763
GPT-4.1,PlanningPoker,Minimal,5,1.0,1.0,1.0,0.0,
GPT-4.1,PlanningPoker,Problem-oriented,5,0.7708333333333333,0.625,0.8775510204081632,0.12244897959183676,0.8151098440382357
GPT-4.1,PlanningPoker,Unambiguous,5,1.0,1.0,1.0,0.0,1.0
GPT-4.1,PlanningPoker,Uniform,5,1.0,1.0,1.0,0.0,
GPT-4.1,PlanningPoker,Unique,5,0.35,0.0,0.9607843137254902,0.039215686274509776,0.15674603174602517
GPT-4.1,PlanningPoker,Well-formed,5,1.0,1.0,1.0,0.0,
GPT-4.1,Zooniverse,Atomic,5,0.9538461538461538,0.9230769230769231,0.9795918367346939,0.020408163265306145,0.9676097303014277
GPT-4.1,Zooniverse,Complete,5,0.35,0.0,0.9661016949152542,0.03389830508474578,0.15810502283104974
GPT-4.1,Zooniverse,Conceptually sound,5,0.9712987012987012,0.9636363636363636,0.95,0.050000000000000044,0.8315553060078603
GPT-4.1,Zooniverse,Conflict-free,5,1.0,1.0,1.0,0.0,
GPT-4.1,Zooniverse,Estimatable,5,0.8948529411764706,0.8235294117647058,0.9024390243902439,0.09756097560975607,0.9073236889692587
GPT-4.1,Zooniverse,Full sentence,5,1.0,1.0,1.0,0.0,1.0
GPT-4.1,Zooniverse,Independent,5,1.0,1.0,1.0,0.0,
GPT-4.1,Zooniverse,Minimal,5,1.0,1.0,1.0,0.0,
GPT-4.1,Zooniverse,Problem-oriented,5,0.25920745920745925,0.0,0.6486486486486487,0.3513513513513513,0.13838988689288037
GPT-4.1,Zooniverse,Unambiguous,5,0.7118154960981048,0.38461538461538464,0.6862745098039216,0.3137254901960784,0.7174559959478284
GPT-4.1,Zooniverse,Uniform,5,1.0,1.0,1.0,0.0,
GPT-4.1,Zooniverse,Unique,5,1.0,1.0,1.0,0.0,
GPT-4.1,Zooniverse,Well-formed,5,1.0,1.0,1.0,0.0,
GPT-5.2,BADCamp,Atomic,5,0.9069444444444444,0.7777777777777778,0.967741935483871,0.032258064516129004,0.942592592592593
GPT-5.2,BADCamp,Complete,5,0.505781596013095,0.26666666666666666,0.5373134328358209,0.4626865671641791,0.5059595959595958
GPT-5.2,BADCamp,Conceptually sound,5,0.8,0.5,0.96875,0.03125,0.882266372332598
GPT-5.2,BADCamp,Conflict-free,5,1.0,1.0,1.0,0.0,
GPT-5.2,BADCamp,Estimatable,5,0.5175213675213676,0.2692307692307692,0.5454545454545454,0.4545454545454546,0.49050004726344654
GPT-5.2,BADCamp,Full sentence,5,0.8742424242424243,0.8181818181818182,0.9538461538461539,0.0461538461538461,0.9158902691511388
GPT-5.2,BADCamp,Independent,5,0.8664759400805913,0.8,0.8135593220338984,0.18644067796610164,0.7709627329192547
GPT-5.2,BADCamp,Minimal,5,0.8,0.6666666666666666,0.9814814814814815,0.01851851851851849,0.8691860465116271
GPT-5.2,BADCamp,Problem-oriented,5,0.8311965811965812,0.6666666666666666,0.8888888888888888,0.11111111111111116,0.8685765941172381
GPT-5.2,BADCamp,Unambiguous,5,0.893693022663611,0.8235294117647058,0.851063829787234,0.14893617021276595,0.822477757260366
GPT-5.2,BADCamp,Uniform,5,0.42000000000000004,0.0,0.927536231884058,0.07246376811594202,0.5978299856527982
GPT-5.2,BADCamp,Unique,5,0.9,0.75,0.9701492537313433,0.02985074626865669,0.9308993399339933
GPT-5.2,BADCamp,Well-formed,5,1.0,1.0,1.0,0.0,
GPT-5.2,PlanningPoker,Atomic,5,0.8099999999999999,0.6,0.9607843137254902,0.039215686274509776,0.8739495798319331
GPT-5.2,PlanningPoker,Complete,5,0.8323676323676323,0.7142857142857143,0.9230769230769231,0.07692307692307687,0.876415175870711
GPT-5.2,PlanningPoker,Conceptually sound,5,0.6,0.0,0.9807692307692307,0.019230769230769273,-0.0038610038610110216
GPT-5.2,PlanningPoker,Conflict-free,5,0.65,0.3333333333333333,0.9607843137254902,0.039215686274509776,0.7813786008230451
GPT-5.2,PlanningPoker,Estimatable,5,0.8876190476190476,0.8571428571428571,0.9318181818181818,0.06818181818181823,0.9134199134199134
GPT-5.2,PlanningPoker,Full sentence,5,1.0,1.0,1.0,0.0,1.0
GPT-5.2,PlanningPoker,Independent,5,0.8994959677419354,0.8125,0.8409090909090909,0.15909090909090906,0.8310778385641615
GPT-5.2,PlanningPoker,Minimal,5,1.0,1.0,1.0,0.0,
GPT-5.2,PlanningPoker,Problem-oriented,5,0.6710888531758097,0.5,0.7142857142857143,0.2857142857142857,0.6806749330703116
GPT-5.2,PlanningPoker,Unambiguous,5,0.7958533758330919,0.7352941176470589,0.717391304347826,0.28260869565217395,0.707936507936508
GPT-5.2,PlanningPoker,Uniform,5,1.0,1.0,1.0,0.0,
GPT-5.2,PlanningPoker,Unique,5,0.7,0.5,0.9607843137254902,0.039215686274509776,0.7999476987447696
GPT-5.2,PlanningPoker,Well-formed,5,1.0,1.0,1.0,0.0,
GPT-5.2,Zooniverse,Atomic,5,0.6726923076923077,0.4375,0.7959183673469388,0.20408163265306123,0.7303827751196171
GPT-5.2,Zooniverse,Complete,5,0.4164845223153474,0.06896551724137931,0.0847457627118644,0.9152542372881356,0.17965159036587594
GPT-5.2,Zooniverse,Conceptually sound,5,0.37218045112781956,0.03508771929824561,0.08333333333333333,0.9166666666666666,-0.1120832565850065
GPT-5.2,Zooniverse,Conflict-free,5,1.0,1.0,1.0,0.0,
GPT-5.2,Zooniverse,Estimatable,5,0.9243243243243244,0.8108108108108109,0.8292682926829268,0.1707317073170732,0.7014148980441118
GPT-5.2,Zooniverse,Full sentence,5,1.0,1.0,1.0,0.0,1.0
GPT-5.2,Zooniverse,Independent,5,0.7181567701304543,0.6111111111111112,0.8113207547169812,0.18867924528301883,0.7725067184234101
GPT-5.2,Zooniverse,Minimal,5,1.0,1.0,1.0,0.0,
GPT-5.2,Zooniverse,Problem-oriented,5,0.8031868131868132,0.6666666666666666,0.8378378378378378,0.16216216216216217,0.8315118397085612
GPT-5.2,Zooniverse,Unambiguous,5,0.9647058823529411,0.9411764705882353,0.9411764705882353,0.05882352941176472,0.23192771084337518
GPT-5.2,Zooniverse,Uniform,5,1.0,1.0,1.0,0.0,
GPT-5.2,Zooniverse,Unique,5,1.0,1.0,1.0,0.0,
GPT-5.2,Zooniverse,Well-formed,5,1.0,1.0,1.0,0.0,
