story_id,project,user_story,qus_dimension,qus_criterion,decision,evidence,rationale,context_used,related_story_ids,notes
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Syntactic,Atomic,No Violation,,,Story only,,
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Syntactic,Minimal,Violation,see all items we try to estimate this session,"The story incorporates solution, interface, technology, format, field, or constraint details that exceed the minimal description of the stakeholder need.",Story only,,
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Semantic,Problem-oriented,No Violation,,,Story only,,
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Semantic,Unambiguous,No Violation,,,Story only,,
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Pragmatic,Unique,No Violation,,,Story + Backlog,PP-031,Comparar semanticamente as duas histórias antes do consenso.
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Pragmatic,Independent,No Violation,,,Story + Backlog,,No evident unnecessary dependency was identified.
PP-004,PlanningPoker,"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Syntactic,Atomic,No Violation,,,Story only,,Requer alinhamento da regra de fronteira para Atomic.
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Syntactic,Minimal,No Violation,,,Story only,,
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Semantic,Problem-oriented,No Violation,,,Story only,,
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Semantic,Unambiguous,No Violation,,,Story only,,
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Pragmatic,Independent,No Violation,,,Story + Backlog,,No evident unnecessary dependency was identified.
PP-005,PlanningPoker,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Syntactic,Atomic,No Violation,,,Story only,,
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Syntactic,Minimal,No Violation,,,Story only,,
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Semantic,Problem-oriented,No Violation,,,Story only,,
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Semantic,Unambiguous,No Violation,,,Story only,,
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,The backlog and the story itself provide sufficient scope for a preliminary estimate.
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Pragmatic,Independent,No Violation,,,Story + Backlog,,No evident unnecessary dependency was identified.
PP-006,PlanningPoker,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Syntactic,Atomic,No Violation,,,Story only,,
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Syntactic,Minimal,No Violation,,,Story only,,
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Semantic,Problem-oriented,No Violation,,,Story only,,
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Semantic,Unambiguous,No Violation,,,Story only,,
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,The backlog and the story itself provide sufficient scope for a preliminary estimate.
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Pragmatic,Independent,No Violation,,,Story + Backlog,,No evident unnecessary dependency was identified.
PP-007,PlanningPoker,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Syntactic,Atomic,No Violation,,,Story only,,
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Syntactic,Minimal,No Violation,,,Story only,,
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Semantic,Problem-oriented,No Violation,,,Story only,,
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Semantic,Unambiguous,No Violation,,,Story only,,
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,The backlog and the story itself provide sufficient scope for a preliminary estimate.
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Pragmatic,Independent,No Violation,,,Story + Backlog,,No evident unnecessary dependency was identified.
PP-008,PlanningPoker,"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Syntactic,Atomic,No Violation,,,Story only,,
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Syntactic,Minimal,No Violation,,,Story only,,
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Semantic,Problem-oriented,No Violation,,,Story only,,
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Semantic,Unambiguous,Violation,show all estimates immediately,"The highlighted wording leaves a key term, scope, reference, or expected behavior open to materially different interpretations.",Story only,,
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Semantic,Conflict-free,No Violation,,,Story + Backlog,PP-033,Comparar as regras de exibição de estimativas antes do consenso.
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Pragmatic,Estimatable,Violation,show all estimates immediately,"The highlighted wording leaves relevant scope, expected behavior, or constraints insufficiently defined to support a reliable implementation estimate.",Story + Backlog,,
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Pragmatic,Independent,No Violation,,,Story + Backlog,"PP-032, PP-033",
PP-009,PlanningPoker,"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Syntactic,Atomic,No Violation,,,Story only,,
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Syntactic,Minimal,No Violation,,,Story only,,
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Semantic,Problem-oriented,No Violation,,,Story only,,
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Semantic,Unambiguous,No Violation,,,Story only,,
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,The backlog and the story itself provide sufficient scope for a preliminary estimate.
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Pragmatic,Independent,No Violation,,,Story + Backlog,,No evident unnecessary dependency was identified.
PP-010,PlanningPoker,"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Syntactic,Atomic,No Violation,,,Story only,,
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Syntactic,Minimal,Violation,"have the ""estimate"" field filled in automatically if all estimators show the same card","The story embeds additional implementation, interface, field, constraint, or workflow detail beyond the minimal role–means–optional end structure.",Story only,,Revisar durante a calibração do critério Minimal.
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Semantic,Problem-oriented,Violation,"have the ""estimate"" field filled in automatically if all estimators show the same card","The story prescribes a mechanism, technology, format, interface element, or concrete solution instead of remaining at the level of the stakeholder need.",Story only,,
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Semantic,Unambiguous,No Violation,,,Story only,,
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Semantic,Conflict-free,No Violation,,,Story + Backlog,,No explicit conflict was identified in the available backlog.
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Pragmatic,Full sentence,No Violation,,,Story only,,
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Pragmatic,Estimatable,No Violation,,,Story + Backlog,,The backlog and the story itself provide sufficient scope for a preliminary estimate.
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Pragmatic,Unique,No Violation,,,Story + Backlog,,No substantial duplication was identified in the backlog.
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Pragmatic,Uniform,No Violation,,,Story + Backlog,,
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Pragmatic,Independent,No Violation,,,Story + Backlog,PP-033,
PP-011,PlanningPoker,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",Pragmatic,Complete,No Violation,,,Story + Backlog,,No evident complementary omission was identified in the available backlog.
PP-012,PlanningPoker,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.",Syntactic,Well-formed,No Violation,,,Story only,,
PP-012,PlanningPoker,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.",Syntactic,Atomic,No Violation,,,Story only,,
PP-012,PlanningPoker,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.",Syntactic,Minimal,No Violation,,,Story only,,
PP-012,PlanningPoker,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.",Semantic,Conceptually sound,No Violation,,,Story only,,
PP-012,PlanningPoker,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.",Semantic,Problem-oriented,No Violation,,,Story only,,
